cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;113516.8215;105232.2578;189293.1651;183852.2313;143085.2018;146553.1833;174036.142;167472.5889;151927.8012;180678.6175;154175.3426;155193.12
4-01-00-00;   INGRESOS OPERATIVOS;113516.8215;105232.2578;189293.1651;183852.2313;143085.2018;146553.1833;174036.142;167472.5889;151927.8012;180678.6175;154175.3426;155193.12
4-01-01-00;      INGRESOS POR SERVICIOS;113516.8215;105232.2578;189293.1651;183852.2313;143085.2018;146553.1833;174036.142;167472.5889;151927.8012;180678.6175;154175.3426;155193.12
4-01-01-01;         INGRESOS POR CERTIFICACION OI;113516.8215;105232.2578;189293.1651;183852.2313;143085.2018;146553.1833;174036.142;167472.5889;151927.8012;180678.6175;154175.3426;155193.12
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;151840.3585;138615.7268;156356.9441;151324.936;124670.0878;134942.6456;133883.274;141564.8135;141321.522;132262.806;141657.3423;154045.0234
5-01-00-00;   COSTO DE INVENTARIOS;23707.20151;22875.36988;27452.84436;31029.72038;27927.70726;22051.85657;21315.68557;30374.33205;29609.04694;20496.33141;24111.67965;24111.67965
5-01-01-00;      COSTO DE INVENTARIOS;23707.20151;22875.36988;27452.84436;31029.72038;27927.70726;22051.85657;21315.68557;30374.33205;29609.04694;20496.33141;24111.67965;24111.67965
5-01-01-01;         COSTO DE INVENTARIOS ;23707.20151;22875.36988;27452.84436;31029.72038;27927.70726;22051.85657;21315.68557;30374.33205;29609.04694;20496.33141;24111.67965;24111.67965
5-02-01-00;      GASTOS EN PERSONAL;33057.69167;33934.65167;33989.46167;32399.97167;32838.45167;34482.75167;33934.65167;35195.28167;32290.35167;35469.33167;32180.73167;32180.73167
