cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;2623.92;19881.21982;29569.53982;29670.48;52825.5648;21798.72;45099.1296;31002.63;33233;32092.56;24826.32;37693.62
4-01-00-00;   INGRESOS OPERATIVOS;2623.92;19881.21982;29569.53982;29670.48;52825.5648;21798.72;45099.1296;31002.63;33233;32092.56;24826.32;37693.62
4-01-01-00;      INGRESOS POR SERVICIOS;2623.92;19881.21982;29569.53982;29670.48;52825.5648;21798.72;45099.1296;31002.63;33233;32092.56;24826.32;37693.62
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;2623.92;19881.21982;29569.53982;29670.48;52825.5648;21798.72;45099.1296;31002.63;33233;32092.56;24826.32;37693.62
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;23486.49201;22794.67265;24770.11336;21880.28232;31871.14963;36427.66424;39442.54982;22957.99392;25172.10127;28573.55142;44482.49955;37318.74204
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;16051.229;16051.229;16051.229;16051.229;20227.229;21619.229;24287.229;16051.229;16051.229;16051.229;25651.229;16051.229
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229;16051.229
5-02-01-01;         SUELDOS AL PERSONAL;11167;11167;11167;11167;11167;11167;11167;11167;11167;11167;11167;11167
5-02-01-02;         APORTES PATRONALES;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057
5-02-01-03;         AGUINALDOS;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222
5-02-01-04;         INDEMNIZACION-VACACION;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;227.59;227.59;227.59;227.59;227.59;227.59;227.59;227.59;227.59;227.59;227.59;227.59
5-02-02-00;      GASTOS PERSONAL EXTERNO;0;0;0;0;4176;5568;8236;0;0;0;9600;0
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;4176;5568;8236;0;0;0;9600;0
5-03-00-00;   GASTOS DE OPERACION;7435.263006;6743.443647;8718.884363;5829.053318;11643.92063;14808.43524;15155.32082;6906.764918;9120.872272;12522.32242;18831.27055;21267.51304
5-03-01-00;      GASTOS DE OPERACION;7435.263006;6743.443647;8718.884363;5829.053318;11643.92063;14808.43524;15155.32082;6906.764918;9120.872272;12522.32242;18831.27055;21267.51304
5-03-01-01;         MATERIAL DE ESCRITORIO;0;134.8;326.2;2.8;125.8;12.6;236.7;2.8;181;4.6;0;5.6
5-03-01-02;         SERVICIOS EXTERNOS  ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-04;         SERVICIO DE COURIER;10;10;10;10;10;10;10;10;10;10;10;10
5-03-01-05;         SERVICIOS Y COMUNICACIONES;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4
5-03-01-06;         SERVICIO DE SEGURIDAD;650;650;650;650;650;650;650;650;650;650;650;650
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;45;45;45;45;45;45;45;45;45;45;45;45
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;250;0;0;0;0;250;0;0;0;0
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;934;0;0;0;0;0;0;0;0;0;0
