cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;85000;120000;190000;200000;220000;225000;225000;225000;225000;220000;200000;200000
4-01-00-00;   INGRESOS OPERATIVOS;85000;120000;190000;200000;220000;225000;225000;225000;225000;220000;200000;200000
4-01-01-00;      INGRESOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;85000;120000;190000;200000;220000;225000;225000;225000;225000;220000;200000;200000
4-01-03-01;         INGRESOS POR CAPACITACION;85000;120000;190000;200000;220000;225000;225000;225000;225000;220000;200000;200000
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;119226.8693;145987.972;166849.6958;179367.5041;205710.9708;198139.514;196710.201;182402.6697;196952.7548;191774.23;186813.4475;184646.5436
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;34358.99836;53006.99836;56030.99836;70646.99836;76791.38402;75138.21263;80178.21263;70098.21263;58506.21263;75138.21263;75138.21263;65562.21263
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;21254.99836;21254.99836;21254.99836;21254.99836;23367.38402;21714.21263;21714.21263;21714.21263;21714.21263;21714.21263;21714.21263;21714.21263
5-02-01-01;         SUELDOS AL PERSONAL;14036.315;14036.315;14036.315;14036.315;15527.06;14360.39;14360.39;14360.39;14360.39;14360.39;14360.39;14360.39
5-02-01-02;         APORTES PATRONALES;2345.468237;2345.468237;2345.468237;2345.468237;2594.571726;2399.621169;2399.621169;2399.621169;2399.621169;2399.621169;2399.621169;2399.621169
5-02-01-03;         AGUINALDOS;2338.450079;2338.450079;2338.450079;2338.450079;2586.808196;2392.440974;2392.440974;2392.440974;2392.440974;2392.440974;2392.440974;2392.440974
5-02-01-04;         INDEMNIZACION-VACACION;1169.22504;1169.22504;1169.22504;1169.22504;1293.404098;1196.220487;1196.220487;1196.220487;1196.220487;1196.220487;1196.220487;1196.220487
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54
5-02-02-00;      GASTOS PERSONAL EXTERNO;13104;31752;34776;49392;53424;53424;58464;48384;36792;53424;53424;43848
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;13104;31752;34776;49392;53424;53424;58464;48384;36792;53424;53424;43848
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-00-00;   GASTOS DE OPERACION;84867.87099;92980.9736;110818.6975;108720.5057;128919.5868;123001.3013;116531.9884;112304.457;138446.5422;116636.0173;111675.2349;119084.331
5-03-01-00;      GASTOS DE OPERACION;84867.87099;92980.9736;110818.6975;108720.5057;128919.5868;123001.3013;116531.9884;112304.457;138446.5422;116636.0173;111675.2349;119084.331
5-03-01-01;         MATERIAL DE ESCRITORIO;1835;4940;4742;2650;3910;4221.6;2308;4082;2979.6;2222;4082;760
5-03-01-02;         SERVICIOS EXTERNOS  ;0;0;0;0;0;0;0;0;15000;0;0;0
5-03-01-04;         SERVICIO DE COURIER;200;200;200;200;200;200;200;200;200;200;200;200
5-03-01-05;         SERVICIOS Y COMUNICACIONES;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154;1085.66154
5-03-01-06;         SERVICIO DE SEGURIDAD;2067;2067;2067;2067;2067;2067;2067;2067;2067;2067;2067;2067
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;4971;11635;11130;18010;17470;16660;18280;15380;13150;18620;18620;15485
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-09;         ALQUILER OFICINAS;4176;4926;7426;7426;9926;9926;9926;9926;7426;9926;9176;5926
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;2931.034483;4137.931034;6551.724138;6896.551724;7586.206897;7758.62069;7758.62069;7758.62069;7758.62069;7586.206897;6896.551724;6896.551724
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;1812;1997;3625;5000;5000;5000;5000;5000;5000;4500;3000;3000
5-03-01-16;         PASAJES Y VIATICOS;0;0;0;0;0;0;1469.22;0;8044;0;0;0
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;500;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;2500;0;1500;0;2500;0;0;0;0;0;0;0
5-03-01-19;         GASTOS MOVILIDAD;600;700;800;800;800;900;900;800;700;700;700;600
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;160;160;160;160;160;160;160;160;160;160;160;160
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;115;115;115;115;115;115;115;115;115;115;115;115
5-03-01-23;         INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-25;         CAPACITACION PERSONAL;0;0;0;0;0;100;100;100;0;0;0;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;9000
