PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;232149.072;319768.8;509694.83;511526.02;535845.65;554370.32;786472.51;516936.88;582282.28;549474.578;626063.83;572433.707
4-01-00-00;   INGRESOS OPERATIVOS;232149.072;319768.8;509694.83;511526.02;535845.65;554370.32;786472.51;516936.88;582282.28;549474.578;626063.83;572433.707
4-01-01-00;      INGRESOS POR SERVICIOS;178149.072;145768.8;270694.83;222526.02;254845.65;275370.32;478472.51;204686.88;273282.28;238474.578;317063.83;285865.207
4-01-01-01;         INGRESOS POR CERTIFICACION OI;89000;69000;114000;120000;120000;135000;135000;133500;133000;131000;120000;120000
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;17438.976;59340.96;33303.6;60552;18165.6;30276;21193.2;54496.8;26582.328;9604.8;73358.392
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;53649.072;35544.024;67212.72;42991.92;27248.4;93068.42;283359.86;13775.58;44808.48;31550.2;141709.08;61469.56496
4-01-01-05;         INGRESOS POR LABORATORIO;35500;23785.8;30141.15;26230.5;47045.25;29136.3;29836.65;36218.1;40977;49342.05;45749.95;31037.25
4-01-02-00;      INGRESOS VENTAS;18000;18000;18000;18000;20000;18000;18000;18000;18000;20000;18000;18000
4-01-02-01;         INGRESOS VENTAS;18000;18000;18000;18000;20000;18000;18000;18000;18000;20000;18000;18000
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;36000;156000;221000;271000;261000;261000;290000;291000;291000;291000;291000;265318.5
4-01-03-01;         INGRESOS POR CAPACITACION;36000;156000;221000;271000;261000;261000;290000;291000;291000;291000;291000;265318.5
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;3250;0;0;0;3250
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;3250;0;0;0;3250
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;423498.4561;459390.3701;643808.553;481962.3;484783.3864;596874.8181;630362.0199;511942.1894;547073.6227;516581.788;556892.9141;568139.3058
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS O.I.;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;322197.6822;333253.8597;369934.6747;345794.0672;343688.4822;334334.0672;353715.7617;340333.5692;342179.7467;351232.5692;348205.3617;333368.3542
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;271043.0822;270934.4597;271006.8747;270970.6672;271043.0822;270970.6672;270847.5617;270883.7692;270775.1467;270883.7692;270847.5617;270811.3542
5-02-01-01;         SUELDOS AL PERSONAL;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113;180097.8113
