PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;240,466.40;510,262.19;547,762.26;589,497.88;623,017.81;610,715.77;537,379.51;505,390.10;719,475.52;718,113.67;549,346.93;577,378.16
4-01-00-00;   INGRESOS OPERATIVOS;240,466.40;510,262.19;547,762.26;589,497.88;623,017.81;610,715.77;537,379.51;505,390.10;719,475.52;718,113.67;549,346.93;577,378.16
4-01-01-00;      INGRESOS POR SERVICIOS;159,216.40;261,982.19;321,532.26;255,027.88;373,867.81;314,545.77;279,829.51;220,500.10;385,515.52;431,733.67;369,496.93;475,378.16
4-01-01-01;         INGRESOS POR CERTIFICACION OI;108,067.00;113,518.00;151,538.00;129,416.00;136,878.00;161,556.00;176,035.00;159,764.00;185,478.00;159,957.00;176,578.00;186,452.00
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;92,800.46;63,276.84;39,843.22;102,938.40;18,165.60;35,846.78;17,802.29;28,822.75;34,030.22;0;127,171.94
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;19,679.40;31,123.73;69,483.42;54,920.66;114,533.41;77,205.37;39,040.73;19,285.81;136,908.77;193,688.45;134,792.93;109,032.22
4-01-01-05;         INGRESOS POR LABORATORIO;31,470.00;24,540.00;37,234.00;30,848.00;19,518.00;57,618.80;28,907.00;23,648.00;34,306.00;44,058.00;58,126.00;52,722.00
4-01-02-00;      INGRESOS VENTAS;16,600.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00
4-01-02-01;         INGRESOS VENTAS;16,600.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00;18,500.00
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;64,650.00;229,780.00;207,730.00;315,970.00;230,650.00;277,670.00;239,050.00;266,390.00;315,460.00;267,880.00;161,350.00;83,500.00
4-01-03-01;         INGRESOS POR CAPACITACION;64,650.00;229,780.00;207,730.00;315,970.00;230,650.00;277,670.00;239,050.00;266,390.00;315,460.00;267,880.00;161,350.00;83,500.00
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;360,271.42;430,978.59;517,728.97;535,104.80;532,747.84;593,507.48;519,984.91;472,866.01;671,793.45;592,666.27;486,407.36;543,930.20
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS O.I.;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;268,392.50;314,640.50;326,243.30;332,904.50;377,441.39;342,857.39;361,759.79;350,018.56;368,122.96;401,803.36;335,385.76;321,814.74
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;242,627.30;242,627.30;242,627.30;242,627.30;304,175.39;275,368.19;275,368.19;275,514.16;275,514.16;275,514.16;275,514.16;274,754.34
5-02-01-01;         SUELDOS AL PERSONAL;160,361.76;160,361.76;160,361.76;160,361.76;203,571.65;183,570.39;183,570.39;183,570.39;183,570.39;183,570.39;183,570.39;183,570.39
5-02-01-02;         APORTES PATRONALES;26,796.45;26,796.45;26,796.45;26,796.45;34,016.82;30,616.13;30,616.13;30,674.61;30,674.61;30,674.61;30,674.61;30,674.61
5-02-01-03;         AGUINALDOS;26,719.84;26,719.84;26,719.84;26,719.84;33,919.68;30,528.32;30,528.32;30,586.65;30,586.65;30,586.65;30,586.65;30,586.65
5-02-01-04;         INDEMNIZACION-VACACION;13,358.14;13,358.14;13,358.14;13,358.14;16,957.52;15,262.26;15,262.26;15,291.41;15,291.41;15,291.41;15,291.41;15,291.41
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00;2,163.00
5-02-01-08;         REFRIGERIOS DEL PERSONAL;13,228.11;13,228.11;13,228.11;13,228.11;13,546.73;13,228.11;13,228.11;13,228.11;13,228.11;13,228.11;13,228.11;12,468.29
5-02-02-00;      GASTOS PERSONAL EXTERNO;25,765.20;72,013.20;83,616.00;90,277.20;73,266.00;67,489.20;86,391.60;74,504.40;92,608.80;126,289.20;59,871.60;47,060.40
5-02-02-01;         HONORARIOS PROFESIONALES;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00;5,250.00
5-02-02-02;         HONORARIOS DOCENTES;14,112.00;44,352.00;46,872.00;64,008.00;44,352.00;44,352.00;53,928.00;56,448.00;49,392.00;54,432.00;26,712.00;16,128.00
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;6,403.20;22,411.20;31,494.00;21,019.20;23,664.00;17,887.20;27,213.60;12,806.40;37,966.80;66,607.20;27,909.60;25,682.40
5-03-00-00;   GASTOS DE OPERACION;91,878.93;116,338.09;181,485.68;142,200.30;145,306.45;220,650.08;158,225.12;132,847.44;303,670.49;190,862.91;151,021.59;192,115.46
5-03-01-00;      GASTOS DE OPERACION;91,878.93;116,338.09;181,485.68;142,200.30;145,306.45;220,650.08;158,225.12;132,847.44;303,670.49;190,862.91;151,021.59;192,115.46
5-03-01-01;         MATERIAL DE ESCRITORIO;7,558.40;5,265.74;2,340.13;5,995.30;3,253.62;3,981.88;6,046.71;3,775.40;3,888.79;5,751.75;4,025.99;4,311.44
5-03-01-02;         SERVICIOS EXTERNOS  ;3,992.00;16,534.00;8,398.40;12,367.40;11,090.00;10,643.30;12,298.00;13,975.20;65,747.80;48,995.00;31,859.60;6,895.00
5-03-01-04;         SERVICIO DE COURIER;678.72;957.42;882.55;785.88;1,872.10;792.64;769.89;726.49;744.25;660;749.08;719.36
5-03-01-05;         SERVICIOS Y COMUNICACIONES;11,507.36;11,252.35;11,472.09;11,356.82;11,798.47;11,651.24;11,584.27;11,750.93;11,652.24;11,850.32;11,635.73;11,809.42
5-03-01-06;         SERVICIO DE SEGURIDAD;5,692.79;5,692.79;5,692.79;5,692.79;5,692.79;5,692.86;5,692.79;5,692.79;5,744.43;5,744.43;5,744.43;5,791.99
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;5,605.57;10,812.64;11,665.24;13,960.46;10,859.00;13,870.34;12,588.30;11,949.97;16,061.49;12,356.58;6,725.85;4,911.80
5-03-01-08;         REPARACION Y MANTENIMIENTO;2,676.20;2,329.11;2,214.20;3,282.11;8,029.04;2,368.50;2,391.46;2,373.84;2,428.31;2,509.00;2,410.69;2,274.20
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;7,500.00;0;2,000.00;9,500.00;0;0;0
5-03-01-11;         SEGUROS;0;548.03;0;0;1,800.00;0;0;0;0;0;2,500.00;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;8,291.94;17,595.25;18,888.35;20,327.51;21,483.37;21,059.16;18,530.33;17,427.24;24,809.50;24,762.54;18,943.00;19,909.59
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;72,000.00;0;0;72,000.00;0;0;72,000.00;0;0;72,000.00
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;1,509.17;4,055.00;4,235.00;5,771.59;4,010.00;4,117.55;4,865.00;5,066.54;4,415.00;4,967.27;2,623.39;1,715.00
5-03-01-16;         PASAJES Y VIATICOS;8,409.52;7,362.76;8,184.48;16,883.59;23,970.60;19,634.69;7,666.75;10,740.64;31,445.67;27,905.45;14,763.13;10,600.30
5-03-01-17;         GASTOS BANCARIOS;313.61;300;300;300;322.51;300;323.65;314.63;314.63;300;300;300
5-03-01-18;         GASTOS DE IMPRENTA;1,260.00;1,260.00;1,260.00;1,428.14;1,402.02;1,291.95;1,725.95;1,260.00;1,322.94;1,260.00;1,260.00;1,556.80
5-03-01-19;         GASTOS MOVILIDAD;6,077.34;5,926.77;6,159.33;6,213.88;6,805.32;6,281.98;6,830.64;6,492.79;7,536.12;6,449.88;6,271.20;6,700.29
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;6,096.54;6,092.92;6,236.83;6,155.31;6,286.80;6,123.13;6,214.85;6,332.57;6,131.20;6,175.11;6,288.48;6,243.24
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;2,070.00;2,070.00;2,070.00;2,623.25;2,623.25;2,623.25;2,623.25;2,655.79;2,623.25;2,623.25;2,623.25;2,696.32
5-03-01-23;         INTERESES Y MULTAS;4,864.80;4,854.85;4,264.32;4,816.86;4,784.14;6,108.23;4,669.67;5,376.14;4,659.56;4,628.39;4,473.25;4,000.00
5-03-01-24;         PATENTES MUNICIPALES;0;0;0;0;0;8,000.00;0;2,192.61;0;0;0;296.8
5-03-01-25;         CAPACITACION PERSONAL;0;0;451.88;0;267.25;2,000.00;2,964.14;3,800.00;6,000.00;5,149.72;6,500.00;3,000.00
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;3,000.00;3,000.00;3,000.00;3,000.00;3,000.00;3,076.83;3,103.10;3,050.16;3,122.93;3,122.93;3,089.81;3,000.00
5-03-01-27;         SERVICIOS PUBLICITARIOS;6,257.32;4,750.00;7,107.76;6,331.57;7,746.70;4,750.00;6,408.84;6,794.61;5,872.01;5,951.41;6,008.22;7,935.50
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;6.17;48.98;36.82;9.45;0;0;0;0;0;0;0
