PLAN DE CUENTAS;;ENE;EJE ENE ;FEB;EJE FEB ;MAR;EJE MAR ;ABR;EJE ABR;MAY;EJE MAY ;JUN;EJE JUN;Ptto a Jun ;Eje Jun ;JUL;EJE JUL;AGO;EJE AGO;SEP;EJE SEP;OCT;EJE OCT ;NOV;EJE NOV ;DIC;EJE DIC 
4-00-00-00;INGRESOS;307198.6056;370455.94;520029.5197;409794.35;627107.9151;555617.06;728906.9667;655978.99;712652.0194;512207.62;832423.9134;521257.8;3728318.94;3025311.76;806652.4434;507842.12;764900.3434;534084.91;600035.4274;650276.33;682327.9034;689479.91;641085.1551;355292.25;674099.041;664234.89
4-01-00-00;   INGRESOS OPERATIVOS;307198.6056;370453.73;520029.5197;409792.62;627107.9151;555614.84;728906.9667;655975.51;712652.0194;512205.43;832423.9134;521255.76;3728318.94;3025297.89;806652.4434;507840.85;764900.3434;534082.8;600035.4274;650274.87;682327.9034;689476.01;641085.1551;355289.22;674099.041;664233.54
4-01-01-00;      INGRESOS POR SERVICIOS;163560.8456;187405.01;330627.9797;218681.37;307725.9351;283125.21;407331.7867;463296.89;367538.2194;353058.36;393718.6934;342073.35;1970503.46;1847640.19;421330.4034;304290;348239.9634;321922.9;344187.0674;323288.21;358862.5734;468958.74;288479.1151;174219.63;376373.051;493080.14
4-01-01-01;         INGRESOS POR CERTIFICACION OI;127835.1656;101189.76;197839.1797;89554.24;215384.8351;182279.7;220410.5467;239214.13;227757.8394;204337.78;228169.5234;209377.83;1217397.09;1025953.44;228169.5234;138128.29;228169.5234;210869.83;228169.5234;159526.68;228169.5234;237697.85;215384.8351;82906.87;140075.481;164039.2
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;30276;32929.5;65878.84;69362.31;10474.8;15225;67331.04;92478.62;46530.3;30644.18;87739.85;36781.16;308230.83;277420.77;89616.96;37258.62;20462.4;24342.6;4178;69663.73;85256.22;141934.58;39487.92;41720.68;67720.8;65639.76
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;5449.68;53285.75;66909.96;59764.82;81866.3;85620.51;119590.2;131604.14;93250.08;118076.4;77809.32;95914.36;444875.54;544265.98;103543.92;128903.09;99608.04;86710.47;111839.544;94097.8;45436.83;89326.31;33606.36;49592.08;168576.77;263401.18
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;20325;8474.09;22325;12799.87;23100;16541.29;23100;24077.59;23100;19550.96;33100;12608.47;145050;94052.27;33100;12498.85;33100;23389.7;33100;90758.54;22714.73;19201.39;37325;9655.58;27325;7365.46
4-01-02-01;         INGRESOS VENTAS;20325;8474.09;22325;12799.87;23100;16541.29;23100;24077.59;23100;19550.96;33100;12608.47;145050;94052.27;33100;12498.85;33100;23389.7;33100;90758.54;22714.73;19201.39;37325;9655.58;27325;7365.46
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;123312.76;174574.63;167076.54;178311.38;296281.98;255948.34;298475.18;168601.03;322013.8;139596.11;405605.22;166573.94;1612765.48;1083605.43;352222.04;191052;383560.38;188770.2;222748.36;236228.12;300750.6;201315.88;315281.04;171414.01;270400.99;163787.94
4-01-03-01;         INGRESOS POR CAPACITACION;123312.76;174574.63;167076.54;178311.38;296281.98;255948.34;298475.18;168601.03;322013.8;139596.11;405605.22;166573.94;1612765.48;1083605.43;352222.04;191052;383560.38;188770.2;222748.36;236228.12;300750.6;201315.88;315281.04;171414.01;270400.99;163787.94
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
