PLAN DE CUENTAS;;PTTO ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;110000;134627;194127;214127;214127;219127;214127;214127;209127;209127;169127;130000
4-01-00-00;   INGRESOS OPERATIVOS;110000;134627;194127;214127;214127;219127;214127;214127;209127;209127;169127;130000
4-01-01-00;      INGRESOS POR SERVICIOS;110000;134627;194127;214127;214127;219127;214127;214127;209127;209127;169127;130000
4-01-01-01;         INGRESOS POR CERTIFICACION OI;110000;134627;194127;214127;214127;219127;214127;214127;209127;209127;169127;130000
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;133828.7623;141885.6476;176577.1874;153533.5813;178157.6118;187313.8766;179863.0721;153719.3519;184571.0236;174271.9007;146867.59;161097.6949
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;51766.01471;51766.01471;51766.01471;51766.01471;61861.30539;53938.82268;53938.82268;53938.82268;53938.82268;53938.82268;53938.82268;53938.82268
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;51766.01471;51766.01471;51766.01471;51766.01471;61861.30539;53938.82268;53938.82268;53938.82268;53938.82268;53938.82268;53938.82268;53938.82268
5-02-01-01;         SUELDOS AL PERSONAL;31785.4444;31785.4444;31785.4444;31785.4444;38909.8556;33318.8304;33318.8304;33318.8304;33318.8304;33318.8304;33318.8304;33318.8304
5-02-01-02;         APORTES PATRONALES;5311.347759;5311.347759;5311.347759;5311.347759;6501.836871;5567.57656;5567.57656;5567.57656;5567.57656;5567.57656;5567.57656;5567.57656
5-02-01-03;         AGUINALDOS;5295.455037;5295.455037;5295.455037;5295.455037;6482.381943;5550.917145;5550.917145;5550.917145;5550.917145;5550.917145;5550.917145;5550.917145
5-02-01-04;         INDEMNIZACION-VACACION;2647.727519;2647.727519;2647.727519;2647.727519;3241.190971;2775.458572;2775.458572;2775.458572;2775.458572;2775.458572;2775.458572;2775.458572
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;4326;4326;4326;4326;4326;4326;4326;4326;4326;4326;4326;4326
5-02-01-08;         REFRIGERIOS DEL PERSONAL;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04
5-02-02-00;      GASTOS PERSONAL EXTERNO;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-00-00;   GASTOS DE OPERACION;82062.74761;90119.63291;124811.1727;101767.5666;116296.3064;133375.0539;125924.2494;99780.52921;130632.2009;120333.078;92928.7673;107158.8722
5-03-01-00;      GASTOS DE OPERACION;82062.74761;90119.63291;124811.1727;101767.5666;116296.3064;133375.0539;125924.2494;99780.52921;130632.2009;120333.078;92928.7673;107158.8722
5-03-01-01;         MATERIAL DE ESCRITORIO;1684.63;1606.68;1832.12;423.13;537.33;533.79;647.77;507.41;584.37;434.55;457.37;365.89
5-03-01-02;         SERVICIOS EXTERNOS  ;5560.4;8060.4;10366.8;11770;11020;12020;9270;12866.8;12270;11774;9266;9770
5-03-01-04;         SERVICIO DE COURIER;735.35;735.35;735.35;735.35;735.35;735.35;735.35;735.35;735.35;735.35;735.35;735.35
5-03-01-05;         SERVICIOS Y COMUNICACIONES;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825;2905.0825
5-03-01-06;         SERVICIO DE SEGURIDAD;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;0;0;150;0;150;0;150;0;150;0;0;0
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;3793.103448;4642.310345;6694.034483;7383.689655;7383.689655;7556.103448;7383.689655;7383.689655;7211.275862;7211.275862;5831.965517;4482.758621
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;500;500;500;500;500;500;500;500;500;500;500;500
5-03-01-16;         PASAJES Y VIATICOS;3704.18;2816.15;2816.15;5079.37;2816.15;5393.87;2816.15;2816.15;2816.15;2816.15;2816.15;1126.46
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;200;200;200;200;200;200;200;200;1;200;200;200
5-03-01-19;         GASTOS MOVILIDAD;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3017.01
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;2125;2125;2125;2125;2125;2125;2125;2125;2125;2125;2125;2125
