PLAN DE CUENTAS;;PTTO ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;24860.445;45580.986;62891.7674;66559.7754;73669.5172;79160.2652;75686.5362;100756.2824;70469.6198;71033.7048;55445.8922;73722.805
4-01-00-00;   INGRESOS OPERATIVOS;24860.445;45580.986;62891.7674;66559.7754;73669.5172;79160.2652;75686.5362;100756.2824;70469.6198;71033.7048;55445.8922;73722.805
4-01-01-00;      INGRESOS POR SERVICIOS;12000;16000;23000;25000;31000;34755;31500;58487;26000;34083;25000;52547
4-01-01-01;         INGRESOS POR CERTIFICACION OI;12000;16000;23000;25000;31000;32000;31500;28000;26000;25000;25000;15000
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;6266;0;9083;0;37547
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;2755;0;24221;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;1360.245;580.986;891.7674;559.7754;669.5172;1905.2652;2186.5362;269.2824;2469.6198;3950.7048;1245.8922;1175.805
4-01-02-01;         INGRESOS VENTAS;1360.245;580.986;891.7674;559.7754;669.5172;1905.2652;2186.5362;269.2824;2469.6198;3950.7048;1245.8922;1175.805
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;11500.2;29000;39000;41000;42000;42500;42000;42000;42000;33000;29200;20000
4-01-03-01;         INGRESOS POR CAPACITACION;11500.2;29000;39000;41000;42000;42500;42000;42000;42000;33000;29200;20000
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;41508.11797;51321.27586;69409.53183;57170.52859;69334.43163;73792.11989;66472.03104;69197.82251;69277.32314;61470.68161;56264.61871;51718.66629
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS O.I.;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;14453.75572;17981.75572;19745.75572;22013.75572;21584.84247;18968.50797;20480.50797;22496.50797;22496.50797;22496.50797;19976.50797;16196.50797
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;11933.75572;11933.75572;11933.75572;11933.75572;14528.84247;12416.50797;12416.50797;12416.50797;12416.50797;12416.50797;12416.50797;12416.50797
5-02-01-01;         SUELDOS AL PERSONAL;8042.212931;8042.212931;8042.212931;8042.212931;9873.607954;8382.89906;8382.89906;8382.89906;8382.89906;8382.89906;8382.89906;8382.89906
5-02-01-02;         APORTES PATRONALES;1343.853781;1343.853781;1343.853781;1343.853781;1649.879889;1400.782433;1400.782433;1400.782433;1400.782433;1400.782433;1400.782433;1400.782433
5-02-01-03;         AGUINALDOS;1339.832674;1339.832674;1339.832674;1339.832674;1644.943085;1396.590983;1396.590983;1396.590983;1396.590983;1396.590983;1396.590983;1396.590983
5-02-01-04;         INDEMNIZACION-VACACION;669.9163371;669.9163371;669.9163371;669.9163371;822.4715426;698.2954917;698.2954917;698.2954917;698.2954917;698.2954917;698.2954917;698.2954917
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;537.94;537.94;537.94;537.94;537.94;537.94;537.94;537.94;537.94;537.94;537.94;537.94
5-02-02-00;      GASTOS PERSONAL EXTERNO;2520;6048;7812;10080;7056;6552;8064;10080;10080;10080;7560;3780
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;2520;6048;7812;10080;7056;6552;8064;10080;10080;10080;7560;3780
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-00-00;   GASTOS DE OPERACION;27054.36225;33339.52014;49663.7761;35156.77286;47749.58916;54823.61192;45991.52307;46701.31454;46780.81517;38974.17364;36288.11074;35522.15833
5-03-01-00;      GASTOS DE OPERACION;27054.36225;33339.52014;49663.7761;35156.77286;47749.58916;54823.61192;45991.52307;46701.31454;46780.81517;38974.17364;36288.11074;35522.15833
5-03-01-01;         MATERIAL DE ESCRITORIO;1127.83;561.19;1403.72;528.46;1281.55;512.65;1535.48;496.26;1463.67;400.89;1140.95;372.23
5-03-01-02;         SERVICIOS EXTERNOS  ;1502.4;1152.4;1502.4;2458;2453.2;2504;1954;2754;2254;1003.2;2208;703.2
5-03-01-04;         SERVICIO DE COURIER;134;164;164;164;164;172;164;180;204;212;164;164
5-03-01-05;         SERVICIOS Y COMUNICACIONES;197.44;197.44;197.44;197.44;197.44;197.44;197.44;197.44;197.44;197.44;197.44;197.44
5-03-01-06;         SERVICIO DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;222;1230;150;1350;1206;1206;1350;1350;1650;1650;1050;1050
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;2000;0;0;0;0;0;0;0;0;2000
5-03-01-09;         ALQUILER OFICINAS;2588;2588;2588;2588;2588;2588;2588;2588;2588;2588;2588;2588
5-03-01-10;         ALQUILER OTROS;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5
5-03-01-11;         SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;857.2567241;1571.758138;2168.681634;2295.164669;2540.328179;2729.664317;2609.880559;3474.354566;2429.98689;2449.438097;1911.927317;2542.16569
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;24;142.5;51;167;51;160;51;81.1;171;71.1;41;41
5-03-01-16;         PASAJES Y VIATICOS;425.87;4915.9;7395;6635.57;6118.57;3340.01;8869.81;6504.64;5210.75;4140.64;5677.47;1817.59
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;100;120;1100;125;100;125;130;125;100;100;100;100
5-03-01-19;         GASTOS MOVILIDAD;250;240;240;240;250;450;700;750;250;700;275;700
