PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;31943.03836;51168.51228;61440.79688;65538.84528;55538.5006;67055.2166;81642.5766;59747.1866;67486.2166;77076.0166;59080.79688;72277.33
4-01-00-00;   INGRESOS OPERATIVOS;31943.03836;51168.51228;61440.79688;65538.84528;55538.5006;67055.2166;81642.5766;59747.1866;67486.2166;77076.0166;59080.79688;72277.33
4-01-01-00;      INGRESOS POR SERVICIOS;12643.03836;19566.51228;21301.79688;21798.84528;22525.5006;22566.2166;33465.5766;23958.1866;22566.2166;31650.0166;21301.79688;38413.33
4-01-01-01;         INGRESOS POR CERTIFICACION OI;12643.03836;19566.51228;21301.79688;21798.84528;22525.5006;22566.2166;22566.2166;22566.2166;22566.2166;22566.2166;21301.79688;13951.93
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;1391.97;0;9083.8;0;24461.4
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;10899.36;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;500;1500;1250;1250;1250;1250;1250;1250;1250;1500;1500;1500
4-01-02-01;         INGRESOS VENTAS;500;1500;1250;1250;1250;1250;1250;1250;1250;1500;1500;1500
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;18800;30102;38889;42490;31763;43239;46927;34539;43670;43926;36279;32364
4-01-03-01;         INGRESOS POR CAPACITACION;18800;30102;38889;42490;31763;43239;46927;34539;43670;43926;36279;32364
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;40067.28379;48375.31841;55212.40581;76319.95782;53462.68835;64052.92649;76958.46411;60733.59545;59730.94856;73271.36892;53244.35581;55913.37867
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS O.I.;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;24492.03588;24492.03588;32052.03588;34572.03588;26508.03588;31342.43588;48779.33758;29532.03588;34068.03588;46790.43418;31548.03588;29028.03588
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;19452.03588;19452.03588;19452.03588;19452.03588;19452.03588;19452.03588;19491.73758;19452.03588;19452.03588;19412.33418;19452.03588;19452.03588
5-02-01-01;         SUELDOS AL PERSONAL;10287.64;10287.64;10287.64;10287.64;10287.64;10287.64;10314.052;10287.64;10287.64;10261.228;10287.64;10287.64
5-02-01-02;         APORTES PATRONALES;1719.064644;1719.064644;1719.064644;1719.064644;1719.064644;1719.064644;1723.478089;1719.064644;1719.064644;1714.651199;1719.064644;1719.064644
5-02-01-03;         AGUINALDOS;1713.920824;1713.920824;1713.920824;1713.920824;1713.920824;1713.920824;1718.321063;1713.920824;1713.920824;1709.520585;1713.920824;1713.920824
5-02-01-04;         INDEMNIZACION-VACACION;856.960412;856.960412;856.960412;856.960412;856.960412;856.960412;859.1605316;856.960412;856.960412;854.7602924;856.960412;856.960412
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
5-02-01-08;         REFRIGERIOS DEL PERSONAL;874.45;874.45;874.45;874.45;874.45;874.45;876.7259;874.45;874.45;872.1741;874.45;874.45
5-02-02-00;      GASTOS PERSONAL EXTERNO;5040;5040;12600;15120;7056;11890.4;29287.6;10080;14616;27378.1;12096;9576
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;5040;5040;12600;15120;7056;10080;23608;10080;14616;23608;12096;9576
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;1810.4;5679.6;0;0;3770.1;0;0
5-03-00-00;   GASTOS DE OPERACION;15575.24791;23883.28253;23160.36993;41747.92194;26954.65247;32710.49061;28179.12652;31201.55957;25662.91268;26480.93475;21696.31993;26885.34279
5-03-01-00;      GASTOS DE OPERACION;15575.24791;23883.28253;23160.36993;41747.92194;26954.65247;32710.49061;28179.12652;31201.55957;25662.91268;26480.93475;21696.31993;26885.34279
5-03-01-01;         MATERIAL DE ESCRITORIO;1739.68;184.83;2693.36;238.28;2309.39;2351.24;1559.8085;508.41;2705.66;145.295;1930.03;125
5-03-01-02;         SERVICIOS EXTERNOS  ;0;500;500;500;500;500;500;500;500;500;500;500
5-03-01-04;         SERVICIO DE COURIER;337.7702083;337.7702083;337.7702083;337.7702083;337.7702083;337.7702083;338.1502083;337.7702083;337.7702083;337.3902083;337.7702083;337.7702083
5-03-01-05;         SERVICIOS Y COMUNICACIONES;557;557;557;557;557;557;558.15;557;557;555.85;557;557
5-03-01-06;         SERVICIO DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;180;360;360;360;360;360;360;360;360;360;360;180
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;600;0;500;0;500;100;500;100;0;500
5-03-01-09;         ALQUILER OFICINAS;5100;5100;5100;5100;5100;5100;5111.25;5100;5100;5088.75;5100;5100
5-03-01-10;         ALQUILER OTROS;150;362.5;362.5;287.5;287.5;287.5;287.875;287.5;287.5;287.125;287.5;287.5
5-03-01-11;         SEGUROS;200.6;200.6;200.6;200.6;200.6;200.6;200.6;200.6;200.6;200.6;200.6;200.6
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;1099.242702;1757.70732;2113.04472;2254.356734;1909.517262;2567.6454;2809.657814;2054.644366;2321.507469;2651.069538;2030.54472;2485.597586
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;70;190;190;190;190;190;190;190;190;190;190;190
5-03-01-16;         PASAJES Y VIATICOS;1998.08;4280;3083.22;6299.54;4280;4280;3080;8882.76;5280;3080;3080;4299
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;500;500;500;500;500;500;500;500;500;500;500;500
5-03-01-19;         GASTOS MOVILIDAD;400;900;900;900;900;1455.86;1455.86;900;900;900;900;900
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;360;360;360;270;270;270;270.75;270;270;269.25;270;270
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;345;345;345;345;345;345;346.15;345;345;343.85;345;345
5-03-01-23;         INTERESES Y MULTAS;0;2500;0;0;0;0;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875;1867.875
5-03-01-25;         CAPACITACION PERSONAL;0;400;1100;400;400;400;400;400;400;400;400;400
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;200;0;2800;2800;2800;0;0;200;0;0;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;140;280;140;140;140;140;140;140;140;140;140;140
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;15000;0;5000;5000;5000;0;5000;0;5000
5-03-01-31;         GASTOS VARIOS;530;2700;1850;2700;2700;2700;2703;2700;2700;3563.88;2700;2700
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;0;0;0;500;500;500;0;0;0;0;0;0
5-03-01-90;         GASTOS SA ;1502.849996;8286.1204;8938.149192;5760.606992;5666.428992;6453.123992;5735.585196;8359.894784;6687.267592;4854.503136;5522.73038;3876.399168
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
