PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;208.33;572.92;2989.58;1968.75;2989.58;2500;1614.58;1906.25;1770.83;2906.25;1822.92;572.92
4-01-00-00;   INGRESOS OPERATIVOS;208.33;572.92;2989.58;1968.75;2989.58;2500;1614.58;1906.25;1770.83;2906.25;1822.92;572.92
4-01-01-00;      INGRESOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;208.33;572.92;2989.58;1968.75;2989.58;2500;1614.58;1906.25;1770.83;2906.25;1822.92;572.92
4-01-02-01;         INGRESOS VENTAS;0;0;2989.58;1968.75;0;2500;0;1906.25;0;2906.25;1822.92;572.92
4-01-02-10;         AUSPICIOS Y EVENTOS;208.33;572.92;0;0;2989.58;0;1614.58;0;1770.83;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;68.1657731;81.08784207;776.2020855;2354.446891;287.3849055;411.5607366;362.9071324;1054.996719;291.9656634;1626.238437;182.7232703;116.2749421
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-01;         SUELDOS AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-02;         APORTES PATRONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-03;         AGUINALDOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-04;         INDEMNIZACION-VACACION;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-00;      GASTOS PERSONAL EXTERNO;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-00-00;   GASTOS DE OPERACION;68.1657731;81.08784207;776.2020855;2354.446891;287.3849055;411.5607366;362.9071324;1054.996719;291.9656634;1626.238437;182.7232703;116.2749421
5-03-01-00;      GASTOS DE OPERACION;68.1657731;81.08784207;776.2020855;2354.446891;287.3849055;411.5607366;362.9071324;1054.996719;291.9656634;1626.238437;182.7232703;116.2749421
5-03-01-01;         MATERIAL DE ESCRITORIO;0;0;155;866.4;0;0;155;866.4;0;0;0;0
5-03-01-02;         SERVICIOS EXTERNOS  ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-04;         SERVICIO DE COURIER;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-05;         SERVICIOS Y COMUNICACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-06;         SERVICIO DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;7.183793103;19.75586207;103.0889655;67.88793103;103.0889655;86.20689655;55.67517241;65.73275862;61.06310345;100.2155172;62.85931034;19.75586207
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-16;         PASAJES Y VIATICOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;0;0;0;1286.295;0;0;0;0;0;1286.295;0;0
5-03-01-19;         GASTOS MOVILIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-23;         INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-25;         CAPACITACION PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-90;         GASTOS SA ;60.98198;61.33198;518.11312;133.86396;184.29594;325.35384;152.23196;122.86396;230.90256;239.72792;119.86396;96.51908
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
