;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;56403.0971;73198.31506;113336.8453;117859.9561;86351.54775;110842.1645;88310.81543;133284.926;105303.8965;180482.548;92629.65779;65908.93982
4-01-00-00;   INGRESOS OPERATIVOS;56403.0971;73198.31506;113336.8453;117859.9561;86351.54775;110842.1645;88310.81543;133284.926;105303.8965;180482.548;92629.65779;65908.93982
4-01-01-00;      INGRESOS POR SERVICIOS;22375.2971;25798.06506;63817.04535;56889.70615;28878.29775;49492.36451;31737.56543;76361.67601;45204.09647;124955.748;48535.85779;38782.13982
4-01-01-01;         INGRESOS POR CERTIFICACION OI;22375.2971;25798.06506;30878.04535;27885.70615;28878.29775;30724.36451;31737.56543;32340.67601;34002.09647;30470.80796;27342.65779;30002.13982
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;13260;25371;0;0;0;0;0;49097;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;19679;3633;0;18768;0;44021;11202;45387.94;21193.2;8780
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;750;850;950;1550;2050;2500;1150;1500;1250;2600;1450;700
4-01-02-01;         INGRESOS VENTAS;750;850;950;1550;2050;2500;1150;1500;1250;2600;1450;700
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;33277.8;46550.25;48569.8;59420.25;55423.25;58849.8;55423.25;55423.25;58849.8;52926.8;42643.8;26426.8
4-01-03-01;         INGRESOS POR CAPACITACION;33277.8;46550.25;48569.8;59420.25;55423.25;58849.8;55423.25;55423.25;58849.8;52926.8;42643.8;26426.8
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
