cuent;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;2000;34423.812;16954.56;18710.568;74418.408;31244.832;15622.416;31729.248;69695.352;31226.6664;32358.9888;30542.4288
4-01-00-00;   INGRESOS OPERATIVOS;2000;34423.812;16954.56;18710.568;74418.408;31244.832;15622.416;31729.248;69695.352;31226.6664;32358.9888;30542.4288
4-01-01-00;      INGRESOS POR SERVICIOS;2000;34423.812;16954.56;18710.568;74418.408;31244.832;15622.416;31729.248;69695.352;31226.6664;32358.9888;30542.4288
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;2000;34423.812;16954.56;18710.568;74418.408;31244.832;15622.416;31729.248;69695.352;31226.6664;32358.9888;30542.4288
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;25643.02167;44068.33294;38297.87;27579.41598;38238.58128;29605.01843;24037.86522;28087.56338;39622.55318;31917.24664;26381.55872;22475.65581
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434;15937.434
5-02-01-01;         SUELDOS AL PERSONAL;11167;11167;11167;11167;11167;11167;11167;11167;11167;11167;11167;11167
5-02-01-02;         APORTES PATRONALES;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057;1866.0057
5-02-01-03;         AGUINALDOS;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222;1860.4222
5-02-01-04;         INDEMNIZACION-VACACION;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111;930.2111
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
