cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;20464.48;16954.56;41175.35;19073.88;28459.44;20346.6;12110.4;34151.33;74444.32;54041.29;42657.84;71352.39
4-01-00-00;   INGRESOS OPERATIVOS;20464.48;16954.56;41175.35;19073.88;28459.44;20346.6;12110.4;34151.33;74444.32;54041.29;42657.84;71352.39
4-01-01-00;      INGRESOS POR SERVICIOS;20464.48;16954.56;41175.35;19073.88;28459.44;20346.6;12110.4;34151.33;74444.32;54041.29;42657.84;71352.39
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;20464.48;16954.56;41175.35;19073.88;28459.44;20346.6;12110.4;34151.33;74444.32;54041.29;42657.84;71352.39
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
