CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
1110;x;0;0;80000;0;0;0;0;0;0;0;0;0
1111;x;0;0;0;0;0;80000;0;0;0;0;0;0
1112;x;0;0;0;0;0;0;0;0;80000;0;0;0
1113;x;0;0;0;0;0;0;0;0;0;0;0;80000
1114;x;0;0;0;45000;0;0;0;0;0;0;0;0
1115;x;0;0;0;55000;0;0;0;0;0;0;0;0
1116;x;0;30000;0;0;0;0;0;0;0;0;0;0
1117;x;0;0;50000;0;0;0;0;0;0;0;0;0
1204;x;0;0;0;0;0;0;0;0;0;0;0;40000
1205;x;0;0;0;0;0;0;0;210000;0;0;0;0
1206;x;10000;0;0;0;0;0;0;0;0;0;0;0
1207;x;0;0;30000;0;0;0;0;0;0;0;0;0
1208;x;0;0;0;0;30000;0;0;0;0;0;0;0
1209;x;0;0;0;0;0;0;30000;0;0;0;0;0
1210;x;0;0;0;0;0;0;0;0;30000;0;0;0
1211;x;0;0;0;0;0;0;0;0;0;0;30000;0
1212;x;0;0;0;0;0;0;0;0;0;0;40000;0
1213;x;0;0;0;0;0;77000;0;0;0;0;0;0
1214;x;0;40000;0;0;0;0;0;0;0;0;0;0
1215;x;0;0;0;120000;0;0;0;0;0;0;0;0
1216;x;0;0;0;0;50000;0;0;0;0;0;0;0
1217;x;0;0;0;0;0;63000;0;0;0;0;0;0
1302;x;0;0;0;0;0;0;40000;0;0;0;0;0
1303;x;0;0;0;0;0;0;110000;0;0;0;0;0
1304;x;0;0;0;0;0;40000;0;0;0;0;0;0
1404;x;0;0;0;0;80000;0;0;0;0;0;0;0
1405;x;0;0;0;0;40000;0;0;0;0;0;0;0
1406;x;0;0;0;0;0;0;0;0;60000;0;0;0
1407;x;0;0;0;0;0;0;0;0;0;0;0;40000
2105;x;0;0;150000;0;0;0;0;0;0;0;0;0
2106;x;0;0;0;50000;0;0;0;0;0;0;0;0
2107;x;0;0;0;0;0;0;0;0;0;0;0;100000
2108;x;0;0;0;0;0;0;0;0;0;0;0;100000
2212;x;0;0;84000;0;0;0;0;0;0;0;0;0
2213;x;0;0;52000;0;0;0;0;0;0;0;0;0
2214;x;0;0;0;70000;0;0;0;0;0;0;0;0
2215;x;0;0;0;0;0;0;0;70000;0;0;0;0
2216;x;0;0;0;0;0;0;0;0;0;0;0;70000
2217;x;0;0;0;0;0;63000;0;0;0;0;0;0
2219;x;0;0;0;0;0;0;0;0;0;0;0;63000
2220;x;0;0;0;0;100000;0;0;0;0;0;0;0
2221;x;0;0;0;0;0;0;0;0;0;0;0;42000
2222;x;0;0;0;0;0;0;0;0;0;0;0;42000
2223;x;0;0;0;0;0;0;0;0;0;0;0;40000
2304;x;34000;0;0;0;0;0;0;0;0;0;0;0
2305;x;0;0;0;0;0;0;0;0;0;0;0;60000
2306;x;0;0;0;0;0;75000;0;0;0;0;0;0
2307;x;0;0;0;0;0;0;0;0;0;0;81000;0
3109;x;0;0;0;0;0;0;0;0;0;0;0;45000
3110;x;0;0;0;0;0;0;0;0;60000;0;0;0
3114;x;0;0;0;0;0;75000;0;0;0;0;0;0
3201;x;0;0;0;0;0;0;0;0;0;0;0;70000
3203;x;0;0;60000;0;0;0;0;0;0;0;0;0
3206;x;0;0;45000;0;0;0;0;0;0;0;0;0
3305;x;0;0;60000;0;0;0;0;0;0;0;0;0
3306;x;0;0;0;0;45000;0;0;0;0;0;0;0
3307;x;0;0;0;0;100000;0;0;0;0;0;0;0
3506;x;0;0;0;0;0;0;0;0;0;0;0;55000
3507;x;0;0;0;0;0;0;0;0;0;0;0;60000
3508;x;0;0;0;0;0;0;0;0;0;0;0;60000
3509;x;0;0;0;0;0;80000;0;0;0;0;0;0
3510;x;0;0;0;0;0;0;0;0;0;0;0;35000
3511;x;0;0;0;0;0;0;0;0;0;0;0;35000
