Codigo;Actividad;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
1110;DESIGN AND IMPLEMENT COMMUNICATION CAMPAIGNS FOR THE RELEASE OF THE STANDARDS VIEWER AND FOR THE DIGITAL STANDARDS SHOP, IN ORDER TO INVOLVE INTERESTED PARTIES AS IBNORCA AFFILIATES;10363.44;0;40000;0;0;0;0;0;0;0;0;0
1111;DEVELOP AND IMPLEMENT STRATEGIES, POLICIES AND GUIDANCE DOCUMENTS IN ORDER TO COMMUNICATE ABOUT IBNORCA AND THE COMMITTEES WORK;0;0;0;0;0;40000;0;0;0;0;0;0
1112;DEVELOP MULTIMEDIA MATERIAL FOR DISSEMINATION AND TRAINING ON TOPICS RELATED TO TECHNICAL STANDARDIZATION;0;0;0;0;0;0;0;0;40000;0;0;0
1113;DESIGN AND IMPLEMENT COMMUNICATION CAMPAIGNS RELATED TO WORLD STANDARDS DAYS AND THE BENEFITS OF DEVELOPING AND IMPLEMENTING STANDARDS.;0;0;0;0;0;0;0;0;0;0;0;40000
1114;DEVELOP A PROCEDURE FOR THE MAPPING AND PRIORIZATION OF RELEVANT STAKEHOLDERS FOR THE BOLIVIAN CONTEXT, AND CAPACITY BUIDLING IN STANDARIZATION WORK.;0;0;0;22500;0;0;0;0;0;0;0;0
1115;CAPACITY BUILDING WITH SIS ON MARKETING STRATEGY AND COMMUNICATION IN CONNECTION WITH ISO MARKETING AND COMMUNICATION NETWORKING EVENT IN GENEVA;0;0;0;27500;0;0;0;0;0;0;0;0
1116;DEVELOP OF A PROPOSAL TO DEVELOP ADDTIONAL SERVICES OF IBNORCA IN THE WATER SECTOR;0;15000;0;0;0;0;0;0;0;0;0;0
1117;DEVELOP A STUDY TO IDENTIFY STAFF PROBLEMS AND POTENCIALITIES;0;0;25000;0;0;0;0;0;0;0;0;0
1203;DEVELOP THE MARKETING AND DISSEMINATION OF STANDARDS STRATEGY FOR HOW TO PROMOTE THE DIGITAL SYSTEM AND MAP OUT RELEVANT STAKEHOLDERS;293.5;0;0;0;0;0;0;0;0;0;0;0
1203;DESARROLLAR LA ESTRATEGIA DE COMERCIALIZACI�N Y DIFUSI�N DE NORMAS PARA PROMOVER EL SISTEMA DIGITAL Y MAPEAR LAS PARTES INTERESADAS RELEVANTES.;293.5;0;0;0;0;0;0;0;0;0;0;0
1204;DEVELOP A DIGITAL DISTRIBUTION SYSTEM FOR STANDARDS.;48220;0;0;0;0;0;0;0;0;0;0;20000
1205;DEVELOP A SECURITY INFORMATION SYSTEM FOR IBNORCA;0;0;0;0;0;0;0;105000;0;0;0;0
1206;DEVELOP A PLANNING AND MONITORING SYSTEM WITHIN IBNORCA.;5000;20000;0;0;0;0;0;0;0;0;0;0
1207;DEVELOP A MAPPING OF RELEVANT STAKEHOLDERS AND STANDARDS NECESSITIES (FOOD SECTOR);0;0;15000;0;0;0;0;0;0;0;0;0
1208;DEVELOP A MAPPING OF RELEVANT STAKEHOLDERS AND STANDARDS NECESSITIES (FINANCE SECTOR);0;0;0;0;15000;0;0;0;0;0;0;0
1209;DEVELOP A MAPPING OF RELEVANT STAKEHOLDERS AND STANDARDS NECESSITIES (MINING SECTOR);0;0;0;0;0;0;15000;0;0;0;0;0
1210;DEVELOP A MAPPING OF RELEVANT STAKEHOLDERS AND STANDARDS NECESSITIES (HEALTH SECTOR);0;0;0;0;0;0;0;0;15000;0;0;0
1212;IMPLEMENTATION OF COMPUTER SECURITY SYSTEMS AND TRAINING ON HOW TO USE THE SYSTEMS;0;0;0;0;0;0;0;0;0;0;20000;0
1213;DEVELOP A GAP STUDY FOR IBNORCA PROCESS DEVELOPMENT;0;0;0;0;0;38500;0;0;0;0;0;0
1214;DEVELOPMENT A BASE LINE FOR THE INTEGRATION OF THE FINANCIAL SYSTEM WITH THE DIGITAL SYSTEMS RUNNING AT IBNORCA AND THE DIGITAL DISTRIBUTION SYSTEM FOR STANDARDS;0;20000;0;0;0;0;0;0;0;0;0;0
1215;DEVELOPMENT OF SOFTWARE FOR THE INTEGRATION OF THE FINANCIAL SYSTEM WITH THE DIGITAL SYSTEMS RUNNING AT IBNORCA AND THE DIGITAL DISTRIBUTION SYSTEM FOR STANDARDS;0;0;0;60000;0;0;0;0;0;0;0;0
1216;TRAINING AND CAPACITY BUILDING WITH END USERS FOR THE IMPLEMENTATION OF THE FINANCIAL SYSTEM;0;0;0;0;25000;0;0;0;0;0;0;0
1217;DEVELOP OF ONLINE TRAINING COURSES FOR IBNORCA;0;0;0;0;0;31500;0;0;0;0;0;0
1302;DEVELOP A PROPOSAL OF A NEW IBNORCA BYLAW WITH LEGAL SUPPORT;0;0;0;0;0;0;20000;0;0;0;0;0
1303;PAY 50% OF IBNORCA FEE TO BECOME A FULL MEMBER OF ISO;0;0;0;0;0;0;55000;0;0;0;0;0
1304;DEVELOP THE LEGAL FRAMEWORK TO IMPLEMENT THE CHANGES ESTABLISHED IN THE BYLAW;0;0;0;0;0;20000;0;0;0;0;0;0
1404;PARTICIPATION OF IBNORCA IN WORLD JUSTICE FORUM IV, THE HAGUE, NETHERLANDS AND COPANT GENERAL ASSEMBLY CARTAGENA COLOMBIA;0;0;0;0;40000;0;0;0;0;0;0;0
1405;PARTICIPATION OF IBNORCA IN THE IN SEMINAR DE AFNOR;0;0;0;0;20000;0;0;0;0;0;0;0
1406;PARTICIPATION OF IBNORCA IN ISO GENERAL ASSEMBLY, CAPE TOWN, SOUTH AFRICA;0;0;0;0;0;0;0;0;30000;0;0;0
1407;REVIEW AND ADJUST IBNORCA PROCEDURES RELATED TO STANDARDIZATION. INCLUDING A ONE WEEK VISIT AT IBNORCA BY 2 SIS STANDARDIZATION EXPERTS OKT-DEC 2019. THIS WEEK WILL ALSO BE USED TO DEVELOP WORKPLAN;0;0;0;0;0;0;0;0;0;0;0;20000
2103;REGULATORY APPROACH: ESTABLISHMENT OF IBNORCA’S COMMUNICATION AND ADVOCACY CONCERNING THE IMPORTANCE OF STANDARDS IN REGULATORY WORK;13776;0;0;0;0;0;0;0;0;0;0;0
2103;03 ENFOQUE REGULATORIO: ESTABLECIMIENTO DE LA COMUNICACI�N Y APOYO DE IBNORCA RESPECTO A LA IMPORTANCIA DE LAS NORMAS EN TRABAJO REGULATORIO.;13776;0;0;0;0;0;0;0;0;0;0;0
2105;ESTABLISH A VIDEO CONFERENCE SYSTEM;0;0;75000;0;0;0;0;0;0;0;0;0
2106;DEVELOP THE AMN GENERAL ASSEMBLY IN BOLIVIA TO PROMOTE STANDARDIZATION;0;0;0;25000;0;0;0;0;0;0;0;0
2107;DEVELOP A WORKSHOP FOR ALL THE CURRENT COMPANIES LINKING GENDER WITH ISO 26000 (CORPORATE SOCIAL RESPONSABILITY);0;0;0;0;0;0;0;0;0;0;0;50000
