CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010101000;INGRESOS OI;108,067.00;113,518.00;151,538.00;129,416.00;136,878.00;161,556.00;176,035.00;159,764.00;185,478.00;159,957.00;176,578.00;186,452.00
5020101003;Servicios Externos;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
5020101005;Pasajes Vi ticos por Servicios;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76;1,472.76
5020101006;Refrigerios Cursos - Comites y Otros;150;150;150;150;150;150;150;150;150;150;150;150
5020101007;Servicios Publicitarios por Servicios;1,000.00;0;2,000.00;0;0;0;1,000.00;1,000.00;1,000.00;1,000.00;1,000.00;3,000.00
5020101008;Gastos de Imprenta;250;250;250;250;250;250;250;250;250;250;250;250
5020102001;Sueldos al Personal;25,759.37;25,759.37;25,759.37;25,759.37;33,155.62;29,635.20;29,635.20;29,635.20;29,635.20;29,635.20;29,635.20;29,635.20
5020102002;Aportes;4,304.39;4,304.39;4,304.39;4,304.39;5,540.30;4,952.04;4,952.04;4,952.04;4,952.04;4,952.04;4,952.04;4,952.04
5020102003;Aguinaldos;4,291.51;4,291.51;4,291.51;4,291.51;5,523.73;4,937.22;4,937.22;4,937.22;4,937.22;4,937.22;4,937.22;4,937.22
5020102004;Indemnizaciones - Vacaciones;2,145.76;2,145.76;2,145.76;2,145.76;2,761.86;2,468.61;2,468.61;2,468.61;2,468.61;2,468.61;2,468.61;2,468.61
5020102007;Refrigerios al Personal;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04;2,400.04
5020104001;Material de escritorio;730.53;155.4;155.4;593.48;155.4;155.4;682.63;155.4;155.4;593.48;155.4;593.48
5020104002;Servicios de Courrier;100;100;100;100;100;100;100;100;100;100;100;100
5020104003;Servicios y Comunicaciones;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00;2,038.00
5020104004;Servicios de Seguridad;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00;1,044.00
5020104006;Seguros;0;0;0;0;0;0;0;0;0;0;2,500.00;0
5020104007;Servicios de Fotocopias, Anillados y Otros;50;50;50;50;50;50;50;50;50;50;50;50
5020104009;Servicio y Material de Limpieza;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00;1,060.00
5020104010;Gastos de Movilidad;1,390.00;1,424.00;1,978.00;1,679.00;1,653.00;1,685.00;2,711.00;1,983.00;2,900.00;1,681.00;1,769.00;2,673.00
5020104012;Suscripciones y Cuotas;575;575;575;575;575;575;575;575;575;575;575;575
5020104013;Capacitaci¢n al Personal;0;0;0;0;0;0;1,500.00;1,500.00;1,500.00;1,500.00;3,000.00;1,500.00
5020104021;Reparaci¢n y Mantenimiento de Equipos;200;200;200;200;200;200;200;200;200;200;200;200
5020104022;Reparaci¢n y Mantenimiento Instalaciones;500;500;500;500;500;500;500;500;500;500;500;500
5020104030;Gastos Varios;0;0;0;2,000.00;0;0;12,000.00;1,000.00;1,000.00;1,000.00;6,000.00;4,000.00
5020106003;Impuesto a las Transacciones;3,726.45;3,914.41;5,225.45;4,462.62;4,719.93;5,570.90;6,070.17;5,509.10;6,395.79;5,515.76;6,088.90;6,429.38
5020109001;Equipos de Computacion (***);580;0;0;0;0;0;16,264.00;2,600.00;0;0;0;2,600.00
5020109002;Gastos DN (***);30,366.29;30,457.82;30,040.02;32,570.30;42,543.46;33,149.44;31,797.38;33,198.14;33,756.75;34,347.00;32,046.02;31,390.91
5020109003;Gastos SA (***);12,177.53;11,731.56;35,820.76;29,672.21;16,367.59;44,965.10;13,327.57;9,935.71;35,957.38;14,001.22;13,297.46;43,678.95
