CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010103001;INGRESOS VENTAS;4543.00;6373.00;11081.00;15403.00;24800.00;24490.00;21550.00;22217.00;34090.00;33330.00;15106.00;7466.00
5010101001;COSTO DE MATERIALES O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;HONORARIOS AUDITORES EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101002;HONORARIOS POR DOCENCIA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101003;SERVICIOS EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101004;ALQUILER OTROS P/SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0.00;0.00;1862.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1862.90;0.00
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0.00;0.00;800.00;0.00;0.00;800.00;0.00;0.00;800.00;0.00;0.00;0.00
5020101008;GASTOS DE IMPRENTA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101010;AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;SUELDOS AL PERSONAL;6247.84;6247.84;6247.84;6247.84;7670.62;6398.93;6398.93;6398.93;6398.93;6398.93;6398.93;6398.93
5020102002;APORTES;1044.01;1044.01;1044.01;1044.01;1281.76;1069.26;1069.26;1069.26;1069.26;1069.26;1069.26;1069.26
5020102003;AGUINALDOS;1040.89;1040.89;1040.89;1040.89;1277.92;1066.06;1066.06;1066.06;1066.06;1066.06;1066.06;1066.06
5020102004;INDEMNIZACIONES - VACACIONES;520.45;520.45;520.45;520.45;638.96;533.03;533.03;533.03;533.03;533.03;533.03;533.03
5020102006;SUBSIDIOS;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;0.00;0.00
5020102007;REFRIGERIOS AL PERSONAL;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18
5020103001;HONORARIOS PROFESIONALES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104001;MATERIAL DE ESCRITORIO;3720.00;2599.20;105.50;4340.00;2599.20;105.50;4650.00;2599.20;105.50;0.00;2599.20;0.00
5020104002;SERVICIOS DE COURRIER;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104003;SERVICIOS Y COMUNICACIONES;361.89;361.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104004;SERVICIOS DE SEGURIDAD;689.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104005;ALQUILER DE OFICINAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104006;SEGUROS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;200.00;200.00;200.00;200.00;200.00;200.00;200.00;200.00;200.00;200.00;200.00;200.00
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104010;GASTOS DE MOVILIDAD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104012;SUSCRIPCIONES Y CUOTAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104013;CAPACITACIÓN AL PERSONAL;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104014;INTERESES Y MULTAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104015;GASTOS BANCARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104030;GASTOS VARIOS;200.00;0.00;0.00;200.00;0.00;0.00;200.00;0.00;0.00;200.00;0.00;200.00
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020106003;IMPUESTO A LAS TRANSACCIONES;156.66;219.76;382.10;531.14;510.34;430.69;502.41;525.41;521.72;495.52;520.90;257.45
5020106004;PATENTES Y LICENCIAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109009;EQUIPOS DE COMPUTACIÓN;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100601001;PERDIDAS Y GANANCIAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109002;GASTOS DN;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109003;GASTOS SA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
