CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102002;INGRESOS POR CERTIFICACION SISTEMAS;13170.06;65547.54;49955.60;32092.00;62126.35;36028.44;19326.00;47534.00;57212.00;57040.00;95370.00;27551.72
5010101001;COSTO DE MATERIALES O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;HONORARIOS AUDITORES EXTERNOS;0.00;7491.20;6800.00;0.00;7187.00;0.00;4802.00;0.00;0.00;9187.20;10205.60;0.00
5020101002;HONORARIOS POR DOCENCIA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101003;SERVICIOS EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101004;ALQUILER OTROS P/SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;PASAJES VIÁTICOS POR SERVICIOS;1862.90;4870.98;850.58;2335.86;3795.44;2755.86;10054.52;0.00;0.00;143.68;2664.40;3876.48
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;150.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0.00;0.00;800.00;0.00;0.00;0.00;0.00;800.00;0.00;0.00;0.00;0.00
5020101008;GASTOS DE IMPRENTA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101010;AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;SUELDOS AL PERSONAL;8034.80;8034.80;8034.80;8034.80;9864.51;8882.68;8882.68;8882.68;8882.68;8882.68;8882.68;8882.68
5020102002;APORTES;1342.62;1342.62;1342.62;1342.62;1648.36;1484.29;1484.29;1484.29;1484.29;1484.29;1484.29;1484.29
