CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010103001;INGRESOS VENTAS;4174.35;5585.53;45886.94;10027.44;11684.88;13009.3;20500;20500;20500;20500;20500;18500
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;18.42;0;352.8;0;233.43;0;0;0;0;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;0;0;0;984.95;0;0;0;0;0;0;0
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;35.32;0;0;0;0;0;0
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;520.61;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;3958.5;0;0;0;0;0;0;0;0
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020102002;APORTES;0;0;0;0;0;0;0;0;0;0;0;0
5020102003;AGUINALDOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102004;INDEMNIZACIONES - VACACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;329.38;1614.29;456.05;0;0;0;0;0;0;0
5020104002;SERVICIOS DE COURRIER;0;0;15.66;6.96;47.85;72.47;0;0;0;0;0;0
5020104003;SERVICIOS Y COMUNICACIONES;652.46;651.42;715.43;870.31;675.63;746.31;1019;1019;1019;1019;1019;1019
5020104004;SERVICIOS DE SEGURIDAD;452.59;452.59;452.59;452.59;208.8;208.8;522;522;522;522;522;522
5020104005;ALQUILER DE OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;457.64;457.64;457.64;457.64;339.3;339.3;530;530;530;530;530;530
5020104010;GASTOS DE MOVILIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;112.97;60.68;0;201.77;670.99;59.68;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;248.66;0;0;0;173.57;0;0;0;0;0;0;0
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;143.9431034;192.6044828;1582.308276;345.7737931;402.9268966;448.5965517;706.8965517;706.8965517;706.8965517;706.8965517;706.8965517;637.9310345
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;6286.28;6657.6;8147.25;7481.06;7840.8253;8318.492;7675.2298;8013.3445;8148.1813;8290.6544;7735.2457;7577.115
5020109003;GASTOS SA;1698.823;1916.7421;9364.7029;2609.26;2222.7205;9591.1683;8675.230682;9754.781882;16035.87278;10736.11188;10566.23728;17899.70188
