CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102001;INGRESOS POR CERTIFICACION SELLO;5089.5;69681.85;92524.5;9570;58333.5;38814.18;41175.36;162158.26;109478.02;44202.96;30276;29549.38
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;6055.2;0;2543.18;0;17608.8;9604.8;14407.2;12806.4;8004;4802.4
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;337.56;0;0;10000;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;910;3963.43;16220.02;980;1750;4651.19;2443.22;1260;2100;1260;840;840
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;0;0;0;0;0;0;0
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;11088.04;11088.04;11088.04;11088.04;13131.3;11198.09;16195.5378;16195.5378;16195.5378;16195.5378;16195.5378;16195.5378
5020102002;APORTES;1852.81;1852.81;1852.81;1852.81;2194.22;1871.2;2706.274366;2706.274366;2706.274366;2706.274366;2706.274366;2706.274366
5020102003;AGUINALDOS;2148.35;1847.27;1847.27;1847.27;2187.69;1865.6;2698.176597;2698.176597;2698.176597;2698.176597;2698.176597;2698.176597
5020102004;INDEMNIZACIONES - VACACIONES;1074.18;923.63;923.63;923.63;1093.85;932.8;1349.088299;1349.088299;1349.088299;1349.088299;1349.088299;1349.088299
5020102006;SUBSIDIOS;0;0;0;0;1740;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;289.66;475.86;413.79;289.66;289.66;517.24;910.36;910.36;910.36;910.36;910.36;910.36
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;270.57;0;0;0;102.83;169.91;102.83;110.21;102.83;79.91
5020104002;SERVICIOS DE COURRIER;0;0;366.93;6.96;0;6.96;40;40;40;40;40;40
5020104003;SERVICIOS Y COMUNICACIONES;652.48;651.42;728.49;870.34;675.63;746.3;1019;1019;1019;1019;1019;1019
5020104004;SERVICIOS DE SEGURIDAD;452.59;452.59;452.59;452.59;208.8;208.8;522;522;522;522;522;522
5020104005;ALQUILER DE OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104006;SEGUROS;0;0;0;0;762.96;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;37.24;248.73;28.1;90.48;233.24;40;40;40;40;40;40
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;457.64;457.64;457.64;457.64;339.3;339.3;530;530;530;530;530;530
5020104010;GASTOS DE MOVILIDAD;4.73;44.04;24.13;20.94;154.56;15.63;50;50;50;50;50;50
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;302.91;302.91;230;230;230;230;230;230
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;1500
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;119.36;240.64;59.68;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;0;0;0;0;0;0;200;200;200;200;200;200
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;175.5;2402.822414;3190.5;330;2011.5;1338.42;1419.84;5591.664138;3775.104138;1524.24;1044;1018.944138
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;4490.2;4755.43;5819.47;5343.61;5600.5895;5941.78;5482.307;5723.8175;5820.1295;5921.896;5525.1755;5412.225
5020109003;GASTOS SA;1213.445;1369.1015;6689.0735;1863.76;1587.6575;6850.8345;6196.593344;6967.701344;11454.19484;7668.651344;7547.312344;12785.50134
