CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102003;INGRESOS POR  LABORATORIO;21332.4;31489.65;35618.1;17430.45;13698.05;71871;28907;23648;36306;46058;60126;55016
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;227.46;0;0;0;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;560;1050;1050;840;490;560;560;560;560;560;560
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;195.19;171.04;156.95;723.23;179.72;184.44;200;200;200;200;200;200
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;730.8;0;100;100;100;100;100;100
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;16705.91;16705.91;11572.35;8749.98;11652.24;9471.29;17639.81699;17639.81699;17639.81699;17639.81699;17639.81699;17639.81699
5020102002;APORTES;2791.56;2791.56;1933.74;1462.12;1947.08;1582.65;2947.613418;2947.613418;2947.613418;2947.613418;2947.613418;2947.613418
5020102003;AGUINALDOS;2783.2;2783.2;1927.95;1457.75;1941.26;1577.92;2938.79351;2938.79351;2938.79351;2938.79351;2938.79351;2938.79351
5020102004;INDEMNIZACIONES - VACACIONES;1391.6;1391.6;963.98;728.87;970.65;788.96;1469.396755;1469.396755;1469.396755;1469.396755;1469.396755;1469.396755
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;827.59;868.97;372.41;434.48;1200;1096.55;1365.54;1365.54;1365.54;1365.54;1365.54;1365.54
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;64;0;0;0;0;73.53;16.11;26.15;71.85;17.79;16.11
5020104002;SERVICIOS DE COURRIER;13.91;0;61.75;34.79;13.92;13.92;50;50;50;50;50;50
5020104003;SERVICIOS Y COMUNICACIONES;652.48;651.42;715.44;870.34;675.63;746.31;1019;1019;1019;1019;1019;1019
5020104004;SERVICIOS DE SEGURIDAD;1183.94;452.59;452.59;452.59;208.8;208.8;530;530;530;530;530;530
5020104005;ALQUILER DE OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104006;SEGUROS;0;0;0;0;1017.27;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;0;0;0;0;0;20;20;20;20;20;20
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;605.32;591.44;556.49;579.24;463.44;444.79;522;522;522;522;522;522
5020104010;GASTOS DE MOVILIDAD;395.28;516.69;127.81;842.62;1134.93;939.68;528;528;528;528;528;528
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;403.87;403.87;345;345;345;345;345;345
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;1000;1000;1000;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;927.42;0;429.61;0;1490.09;253.47;1000;1000;1000;1000;1000;1000
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;735.6;1085.85;1228.210345;601.05;472.3465517;2478.310345;996.7931034;815.4482759;1251.931034;1588.206897;2073.310345;1897.103448
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;5388.24;5706.51;6983.36;6412.33;6720.7074;7130.136;6578.7684;6868.581;6984.1554;7106.2752;6630.2106;6494.67
5020109003;GASTOS SA;1456.134;1642.9218;8026.8882;2236.51;1905.189;8221.0014;7435.912013;8361.241613;13745.03381;9202.381613;9056.774813;15342.60161
