CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010103001;INGRESOS VENTAS;658.59;641.19;307.98;1548.6;1937.7;779.52;2500;2500;2500;2500;2500;2500
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;0;0;0;56.28;0;0;0;0;0;0;0
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;2.02;0;0;0;0;0;0
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;0;0;0;0;0;0;0
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020102002;APORTES;0;0;0;0;0;0;0;0;0;0;0;0
5020102003;AGUINALDOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102004;INDEMNIZACIONES - VACACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;0;0;0;0;0;0;0;0;0;0
5020104002;SERVICIOS DE COURRIER;0;0;0;0;0;4.14;0;0;0;0;0;0
5020104003;SERVICIOS Y COMUNICACIONES;173.24;159.01;158.53;133.44;109.13;109.34;250;250;250;250;250;250
5020104004;SERVICIOS DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104005;ALQUILER DE OFICINAS;587.35;587.35;587.35;587.35;587.35;587.35;714;714;714;714;714;714
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;226.2;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;71.01;0;130.16;65.08;89.86;65.08;60;60;60;60;60;60
5020104010;GASTOS DE MOVILIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;11.53;40.24;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;17.4;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;0;0;0;0;9.91;0;0;0;0;0;0;0
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;22.71;22.11;10.62;53.4;66.81724138;26.88;86.20689655;86.20689655;86.20689655;86.20689655;86.20689655;86.20689655
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;154.04;162.84;165.17;183.2;187.0308;203.325;187.9921307;196.27249;199.5746036;203.0637503;189.461903;186.8918662
5020109003;GASTOS SA;565.66;597.36;725.27;545.47;655.7793;669.4491;750.7925649;637.9913649;848.6669649;656.5229649;638.3429649;871.9913649
