CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010104001;Ingresos por Capacitacion;8233.68;20097;35766.12;30543.92;25652.76;10490.01;83525;94362.5;94362.5;72850;65187.5;22500
4010104002;Ingresos cuotas Asociados;0;0;0;0;0;0;0;0;0;0;0;0
5010101001;Costo de materiales O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;Honorarios Auditores Externos;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;Honorarios por Docencia;2016;4165.56;2520;11770.67;14555.52;2608.82;7640;29232;29232;21672;27136;7560
5020101003;Servicios Externos;0;0;0;0;0;0;0;0;0;0;0;0
5020101004;Alquiler Otros P/Servicios;0;0;0;0;0;0;1000;1000;1000;0;0;0
5020101005;Pasajes Viáticos por Servicios;1227.12;6034.8;957;1074.59;2959.13;3182.64;3952.66;3952.66;3952.66;3952.66;3952.66;0
5020101006;Refrigerios Cursos - Comites y Otros;703.83;1200.6;459.36;2157.6;2784;389.76;4230;5790;5790;3990;3630;1590
5020101007;Servicios Publicitarios por Servicios;0;0;0;24.36;0;0;0;0;0;0;0;0
5020101008;Gastos de Imprenta;0;0;0;0;0;39.15;200;200;200;200;200;200
5020101010;Auspicios y Eventos;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;Sueldos al Personal;6589.5;3339.3;4454.5;5154.5;5504.62;5159.15;6979.1997;6979.1997;6979.1997;6979.1997;6979.1997;6979.1997
5020102002;Aportes;1101.11;558;744.35;861.32;919.83;862.09;1166.22427;1166.22427;1166.22427;1166.22427;1166.22427;1166.22427
5020102003;Aguinaldos;1097.81;556.33;742.12;858.74;917.06;859.51;1162.73467;1162.73467;1162.73467;1162.73467;1162.73467;1162.73467
5020102004;Indemnizaciones - Vacaciones;548.91;2677.76;371.06;1294.65;458.54;429.76;581.367335;581.367335;581.367335;581.367335;581.367335;581.367335
5020102006;Subsidios;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;Refrigerios al Personal;537.94;206.9;579.31;600;817.24;837.93;1137.95;1137.95;1137.95;1137.95;1137.95;1137.95
5020103001;Honorarios Profesionales;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;Material de escritorio;60.9;0;68.73;20.88;278.83;259.26;417.8;1098.36;427.36;1057.36;394.36;585.36
5020104002;Servicios de Courrier;298.58;159.85;27.84;29.58;18.09;54.98;820;820;820;820;820;820
5020104003;Servicios y Comunicaciones;705;597.96;579.09;613.45;327.36;328.02;750;750;750;750;750;750
5020104004;Servicios de Seguridad;0;0;0;0;0;0;0;0;0;0;0;0
5020104005;Alquiler de Oficinas;1762.07;1762.07;1762.07;1762.07;1762.07;1762.07;2142;2142;2142;2142;2142;2142
5020104006;Seguros;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;Servicios de Fotocopias, Anillados y Otros;570.2;191.4;235.42;641.19;922.03;128.93;1575;2490;2490;1815;1470;675
5020104008;Gastos de Imprenta, Enmarcados y Otros;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;Servicio y Material de Limpieza;307.68;0;351.44;222.24;392.17;257.47;180;180;180;180;180;180
5020104010;Gastos de Movilidad;0;0;0;126;404.74;437.18;314;314;314;314;314;314
5020104012;Suscripciones y Cuotas;0;0;0;0;302.9;302.9;230;230;230;230;230;230
5020104013;Capacitación al Personal;0;0;0;0;0;0;0;0;0;0;0;0
5020104014;Intereses y Multas;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;Gastos Bancarios;0;47.59;229.85;0;0;145.65;0;0;0;0;0;0
5020104021;Reparación y Mantenimiento de Equipos;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;Reparación y Mantenimiento Instalaciones;0;0;353.22;156.6;0;0;0;0;0;0;0;0
5020104030;Gastos Varios;0;0;45;0;173.13;37.42;280;280;280;280;280;280
5020105001;Depreciación de Activos Fijos;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;Impuesto a las Transacciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;Impuesto a las Transacciones;283.92;693;962.6944828;981.2786207;884.637931;-555.2055172;2880.172414;3253.87931;3253.87931;2512.068966;2247.844828;775.862069
5020106004;Patentes y Licencias;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;Equipos de Computación;0;0;0;0;0;0;2600;0;0;0;0;0
5100501001;Ajuste por Inflacion y Tenencia de Bienes;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;Resultados por Exposicion  a la Inflacion;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;Ajuste por Diferencia de Cambio;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;Perdidas y Ganancias;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;Gastos DN;2721.32;2876.87;2918.09;3236.61;3304.2108;3592.075;3321.194309;3467.480656;3525.817998;3587.459588;3347.160287;3301.756302
5020109003;Gastos SA;9993.2984;10553.39;12813.09;9636.57;11585.4343;11826.9341;13264.00198;11271.18078;14993.11638;11598.57238;11277.39238;15405.18078
