CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102001;INGRESOS POR CERTIFICACION SELLO;0;0;0;2088;0;0;0;26763.98;0;38389.97;13200.34;0
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;8004;0;0;3201.6;4802.4;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;0;0;0;0;0;4271.16;0;0;760;1080;0
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;0;0;0;0;0;0;0
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;878.3;312.77;0;0;45.52;0;0;0;0;0;0;0
5020102002;APORTES;146.76;52.26;0;0;7.6;0;0;0;0;0;0;0
5020102003;AGUINALDOS;146.33;52.11;0;0;7.59;0;0;0;0;0;0;0
5020102004;INDEMNIZACIONES - VACACIONES;73.16;1442.25;0;0;3.79;0;0;0;0;0;0;0
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;78.62;28.97;0;0;0;0;0;0;0;0;0;0
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;0;0;0;0;0;0;0;0;0;0
5020104002;SERVICIOS DE COURRIER;0;0;0;6.96;0;0;0;0;0;0;0;0
5020104003;SERVICIOS Y COMUNICACIONES;145.84;131.6;131.13;133.44;109.14;109.35;0;0;0;0;0;0
5020104004;SERVICIOS DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104005;ALQUILER DE OFICINAS;587.35;587.35;587.35;587.35;587.35;587.35;714;714;714;714;714;714
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;71.01;0;130.18;65.09;89.85;65.09;0;0;0;0;0;0
5020104010;GASTOS DE MOVILIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;115;115;115;115;115;115
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;0;0;0;2400;0;0;0;0;0;0;0;0
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;0;0;0;72;0;0;0;922.8958621;0;1323.792069;455.1841379;0
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;205.38;217.12;220.23;244.27;249.3744;271.1;250.6561742;261.6966533;266.0994715;270.751667;252.6158707;249.1891549
5020109003;GASTOS SA;754.2112;796.48;967.03;727.29;874.3724;892.5988;1001.056753;850.6551532;1131.555953;875.3639532;851.1239532;1162.655153
