CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010104001;INGRESOS POR CAPACITACION;85000.00;120000.00;190000.00;200000.00;220000.00;225000.00;265021.74;240225.00;266325.00;230984.90;210984.90;210984.90
4010104002;INGRESOS CUOTAS ASOCIADOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5010101001;COSTO DE MATERIALES O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;HONORARIOS AUDITORES EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101002;HONORARIOS POR DOCENCIA;13104.00;31752.00;34776.00;49392.00;53424.00;53424.00;58464.00;48384.00;36792.00;53424.00;53424.00;43848.00
5020101003;SERVICIOS EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15000.00;0.00;0.00;0.00
5020101004;ALQUILER OTROS P/SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;1469.22;0.00;8044.00;0.00;0.00;0.00
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;4971.00;11635.00;11130.00;18010.00;17470.00;16660.00;18280.00;15380.00;13150.00;18620.00;18620.00;15485.00
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00;2000.00
5020101008;GASTOS DE IMPRENTA;2500.00;0.00;1500.00;0.00;2500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101010;AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;SUELDOS AL PERSONAL;14036.32;14036.32;14036.32;14036.32;15527.06;14360.39;14360.39;14360.39;14360.39;14360.39;14360.39;14360.39
