CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010104001;Ingresos por Capacitacion;33277.80;46550.25;48569.80;59420.25;55423.25;58849.80;46000.00;46000.00;46000.00;90370.00;30000.00;25000.00
4010104002;Ingresos cuotas Asociados;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;;
;EGRESOS;;;;;;;;;;;;
5010101001;Costo de materiales O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;Honorarios Auditores Externos;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101002;Honorarios por Docencia;7560.00;16632.00;15120.00;17640.00;12600.00;15120.00;17640.00;12600.00;15120.00;11592.00;9072.00;5040.00
5020101003;Servicios Externos;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101004;Alquiler Otros P/Servicios;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;Pasajes Viáticos por Servicios;0.00;1980.58;1980.58;2280.58;1980.58;3473.80;0.00;2280.58;0.00;0.00;0.00;0.00
5020101006;Refrigerios Cursos - Comites y Otros;1125.00;1800.00;1800.00;1800.00;1800.00;1800.00;2250.00;1800.00;2250.00;2250.00;900.00;900.00
5020101007;Servicios Publicitarios por Servicios;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101008;Gastos de Imprenta;0.00;0.00;0.00;0.00;0.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101010;Auspicios y Eventos;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;Sueldos al Personal;6820.98;6820.98;6820.98;6820.98;8526.05;7743.07;7743.07;7743.07;7743.07;7743.07;7743.07;7743.07
5020102002;Aportes;1139.79;1139.79;1139.79;1139.79;1424.70;1293.87;1293.87;1293.87;1293.87;1293.87;1293.87;1293.87
5020102003;Aguinaldos;1136.38;1136.38;1136.38;1136.38;1420.44;1290.00;1290.00;1290.00;1290.00;1290.00;1290.00;1290.00
5020102004;Indemnizaciones - Vacaciones;568.19;568.19;568.19;568.19;710.22;645.00;645.00;645.00;645.00;645.00;645.00;645.00
5020102006;Subsidios;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
