CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102002;INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;1378;24221;0;0;1377;0
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;0;0;0;0;1210.66;0;2199.07;0;0;0;0
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;0;0;0;0;0;0;0
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;664.26;664.26;664.26;664.26;815.53;693.29;693.29;693.29;693.29;693.29;693.29;693.29
5020102002;APORTES;111;111;111;111;136.27;115.85;115.85;115.85;115.85;115.85;115.85;115.85
5020102003;AGUINALDOS;110.67;110.67;110.67;110.67;135.87;115.5;115.5;115.5;115.5;115.5;115.5;115.5
5020102004;INDEMNIZACIONES - VACACIONES;55.33;55.33;55.33;55.33;67.93;57.75;57.75;57.75;57.75;57.75;57.75;57.75
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;82.76;82.76;82.76;82.76;82.76;82.76;82.76;82.76;82.76;82.76;82.76;82.76
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;13;0;0;0;0;0;5.2;0;0;0;0
5020104002;SERVICIOS DE COURRIER;0;0;0;0;0;8;0;8;0;0;0;0
5020104003;SERVICIOS Y COMUNICACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104004;SERVICIOS DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104005;ALQUILER DE OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;1;1;1;1;1;1;1;1;1;1;1;1
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;0;0;0;0;0;0;0;0;0;0;0;0
5020104010;GASTOS DE MOVILIDAD;0;0;0;0;0;200;0;500;0;0;0;0
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;115;0;0;0;0;0;115
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;0;0;0;0;0;95;0;835.21;0;0;0;0
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;256.37;490.99;604.28;356.34;398.34;563.06;404.11;370.37;560.8;230.57;344.26;369.54
5020109003;GASTOS SA;256.37;340.99;474.28;256.34;289.34;459.47;284.11;226.37;344.38;230.57;244.26;310.96
