CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102002;INGRESOS POR CERTIFICACION SISTEMAS;9,083.00;88,102.00;96,884.00;159,105.22;92,644.16;84,773.16;66,985.36;184,071.35;116,259.00;134,092.00;117,283.07;232,644.50
5010101001;COSTO DE MATERIALES O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;HONORARIOS AUDITORES EXTERNOS;0.00;37848.44;37848.44;37848.44;37848.44;37848.44;22000.44;37848.44;43068.44;48476.44;37848.44;37848.44
5020101002;HONORARIOS POR DOCENCIA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101003;SERVICIOS EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9744.00
5020101004;ALQUILER OTROS P/SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;PASAJES VIÁTICOS POR SERVICIOS;2628.97;301.25;301.25;301.25;1201.25;301.25;301.25;8449.11;301.25;28664.97;301.25;301.25
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101008;GASTOS DE IMPRENTA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101010;AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;SUELDOS AL PERSONAL;11831.47;11831.47;11831.47;11831.47;14411.91;12383.12;12383.12;12383.12;12383.12;12383.12;12383.12;12383.12
5020102002;APORTES;1977.04;1977.04;1977.04;1977.04;2408.23;2069.22;2069.22;2069.22;2069.22;2069.22;2069.22;2069.22
5020102003;AGUINALDOS;1971.12;1971.12;1971.12;1971.12;2401.02;2063.03;2063.03;2063.03;2063.03;2063.03;2063.03;2063.03
5020102004;INDEMNIZACIONES - VACACIONES;985.56;985.56;985.56;985.56;1200.51;1031.51;1031.51;1031.51;1031.51;1031.51;1031.51;1031.51
5020102006;SUBSIDIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102007;REFRIGERIOS AL PERSONAL;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91
5020103001;HONORARIOS PROFESIONALES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104001;MATERIAL DE ESCRITORIO;80.45;534.89;986.06;65.66;76.06;88.76;853.66;119.43;138.56;94.26;776.06;65.66
5020104002;SERVICIOS DE COURRIER;276.54;845.62;885.62;845.62;885.62;845.62;885.62;845.62;885.62;845.62;885.62;845.62
5020104003;SERVICIOS Y COMUNICACIONES;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03;1162.03
5020104004;SERVICIOS DE SEGURIDAD;1000.00;1000.00;1000.00;1000.00;1000.00;1500.00;1500.00;1500.00;1500.00;1500.00;1500.00;1500.00
5020104005;ALQUILER DE OFICINAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104006;SEGUROS;0.00;200.00;800.00;600.00;400.00;400.00;400.00;800.00;800.00;400.00;400.00;600.00
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;916.62;916.62;916.62;916.62;916.62;916.62;916.62;916.62;916.62;916.62;916.62;916.62
5020104010;GASTOS DE MOVILIDAD;0.00;2072.73;2072.73;2072.73;2072.73;2072.73;1372.73;2072.73;2372.73;2472.73;2072.73;2072.73
5020104012;SUSCRIPCIONES Y CUOTAS;172.50;172.50;172.50;172.50;172.50;172.50;172.50;172.50;172.50;172.50;172.50;172.50
5020104013;CAPACITACIÓN AL PERSONAL;0.00;0.00;0.00;4000.00;0.00;0.00;0.00;4000.00;0.00;0.00;0.00;0.00
5020104014;INTERESES Y MULTAS;0.00;0.00;0.00;0.00;0.00;610.50;0.00;0.00;0.00;0.00;0.00;0.00
5020104015;GASTOS BANCARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00;150.00
5020104030;GASTOS VARIOS;0.00;0.00;200.00;1414.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020106003;IMPUESTO A LAS TRANSACCIONES;313.21;3038.00;3340.83;5486.39;3194.63;2923.21;2309.84;6347.29;4008.93;4623.86;4044.24;8022.22
5020106004;PATENTES Y LICENCIAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109009;EQUIPOS DE COMPUTACIÓN;0.00;0.00;0.00;7934.40;0.00;0.00;0.00;1580.00;0.00;0.00;0.00;0.00
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100601001;PERDIDAS Y GANANCIAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109002;GASTOS DN;19402.28;19555.30;19196.56;21240.01;19914.73;16966.21;14113.68;25970.23;21462.45;22334.63;20243.77;11448.73
5020109003;GASTOS SA;10288.34;10056.36;15443.40;10548.96;11490.59;10718.79;10777.56;13065.67;10908.15;10847.66;10913.64;10289.37
