CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010104001;INGRESOS POR CAPACITACION;150000.00;195000.00;241000.00;265000.00;275000.00;195000.00;233000.00;288000.00;280000.00;283000.00;280000.00;178730.00
4010104002;INGRESOS CUOTAS ASOCIADOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5010101001;COSTO DE MATERIALES O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;HONORARIOS AUDITORES EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101002;HONORARIOS POR DOCENCIA;24192.00;48520.00;52520.00;72520.00;72520.00;60480.00;57960.00;70000.00;70000.00;70560.00;70000.00;42480.00
5020101003;SERVICIOS EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18792.00;12528.00;0.00;0.00;0.00
5020101004;ALQUILER OTROS P/SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;PASAJES VIÁTICOS POR SERVICIOS;2363.22;0.00;0.00;0.00;2363.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;2500.00;4650.00;7150.00;7150.00;7450.00;7450.00;7450.00;11400.00;8350.00;8950.00;8350.00;6150.00
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;1000.00;2100.00;2100.00;2100.00;2100.00;2100.00;2100.00;2100.00;2100.00;2100.00;2100.00;2100.00
5020101008;GASTOS DE IMPRENTA;2190.00;4475.00;4850.00;5045.00;5045.00;4500.00;2795.00;5590.00;4500.00;4500.00;4500.00;3000.00
5020101010;AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;SUELDOS AL PERSONAL;23344.92;27386.43;27386.43;27386.43;33561.43;28673.96;28673.96;28673.96;28673.96;28673.96;28673.96;28673.96
5020102002;APORTES;3900.94;4576.27;4576.27;4576.27;5608.12;4791.42;4791.42;4791.42;4791.42;4791.42;4791.42;4791.42
5020102003;AGUINALDOS;3889.26;4562.58;4562.58;4562.58;5591.33;4777.08;4777.08;4777.08;4777.08;4777.08;4777.08;4777.08
5020102004;INDEMNIZACIONES - VACACIONES;1944.63;2281.29;2281.29;2281.29;2795.67;2388.54;2388.54;2388.54;2388.54;2388.54;2388.54;2388.54
5020102006;SUBSIDIOS;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00;2163.00
5020102007;REFRIGERIOS AL PERSONAL;1717.27;2172.45;2172.45;2172.45;2172.45;2172.45;2172.45;2172.45;2172.45;2172.45;2172.45;2172.45
5020103001;HONORARIOS PROFESIONALES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104001;MATERIAL DE ESCRITORIO;1363.66;4988.86;5069.16;5001.16;5578.86;1343.66;1125.16;4981.66;4913.66;4913.66;4913.66;1308.66
5020104002;SERVICIOS DE COURRIER;40.00;1194.16;1194.16;1731.24;1194.16;1194.16;1194.16;2268.32;1194.16;2268.32;1194.16;1194.16
5020104003;SERVICIOS Y COMUNICACIONES;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13;4648.13
5020104004;SERVICIOS DE SEGURIDAD;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00;4000.00
5020104005;ALQUILER DE OFICINAS;0.00;0.00;5000.00;5000.00;5000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104006;SEGUROS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48;3666.48
5020104010;GASTOS DE MOVILIDAD;920.00;950.00;950.00;500.00;1000.00;1100.00;920.00;1340.00;860.00;1090.00;830.00;530.00
5020104012;SUSCRIPCIONES Y CUOTAS;460.00;460.00;460.00;575.00;805.00;805.00;805.00;575.00;575.00;0.00;0.00;0.00
5020104013;CAPACITACIÓN AL PERSONAL;0.00;0.00;0.00;0.00;2000.00;0.00;0.00;0.00;2000.00;0.00;0.00;0.00
5020104014;INTERESES Y MULTAS;0.00;0.00;0.00;2442.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104015;GASTOS BANCARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0.00;2898.18;3898.18;2000.00;3898.18;3898.18;1000.00;5796.36;3796.36;0.00;0.00;0.00
5020104030;GASTOS VARIOS;0.00;0.00;300.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020106003;IMPUESTO A LAS TRANSACCIONES;5172.41;6724.14;8310.34;9137.93;9482.76;6724.14;8034.48;9931.03;9655.17;9758.62;9655.17;6163.10
5020106004;PATENTES Y LICENCIAS;0.00;545.00;545.00;545.00;545.00;545.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109009;EQUIPOS DE COMPUTACIÓN;0.00;1443.60;1415.20;243.60;500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5100601001;PERDIDAS Y GANANCIAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020109002;GASTOS DN;30924.11;33199.54;33553.80;38232.01;43846.51;37739.19;38204.63;47860.81;39532.42;40202.34;36438.78;32468.39
5020109003;GASTOS SA;25219.01;26101.45;26559.44;54188.13;45683.06;57693.82;51099.60;41003.82;34034.68;51725.79;31844.55;32876.76
