CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102001;INGRESOS POR CERTIFICACION SELLO;45414.00;57332.26;13502.40;94095.02;36783.60;87737.76;31879.72;49287.23;11837.08;88042.37;75629.09;105920.00
5010101001;COSTO DE MATERIALES O.I.M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101001;HONORARIOS AUDITORES EXTERNOS;4838.65;4838.65;4838.65;4838.65;4838.65;32817.85;5839.85;4838.65;4838.65;4838.65;31816.65;4838.65
5020101002;HONORARIOS POR DOCENCIA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101003;SERVICIOS EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101004;ALQUILER OTROS P/SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101005;PASAJES VIÁTICOS POR SERVICIOS;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50;1042.50
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0.00;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101008;GASTOS DE IMPRENTA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020101010;AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102001;SUELDOS AL PERSONAL;13883.72;13883.72;13883.72;13883.72;16931.50;14536.96;14536.96;14536.96;14536.96;14536.96;14536.96;14536.96
5020102002;APORTES;2319.97;2319.97;2319.97;2319.97;2829.25;2429.13;2429.13;2429.13;2429.13;2429.13;2429.13;2429.13
5020102003;AGUINALDOS;2313.03;2313.03;2313.03;2313.03;2820.79;2421.86;2421.86;2421.86;2421.86;2421.86;2421.86;2421.86
5020102004;INDEMNIZACIONES - VACACIONES;1156.51;1156.51;1156.51;1156.51;1410.39;1210.93;1210.93;1210.93;1210.93;1210.93;1210.93;1210.93
5020102006;SUBSIDIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020102007;REFRIGERIOS AL PERSONAL;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91;806.91
5020103001;HONORARIOS PROFESIONALES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5020104001;MATERIAL DE ESCRITORIO;135.08;197.54;241.58;165.83;213.49;143.76;120.54;145.55;249.68;142.09;173.79;77.96
