CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010101001;INGRESOS POR CERTIFICACION OIM;130078.05;132239.83;167923.91;137434.77;115532.52;101287.14;176035;194764;200478;184957;201578;206452
5010101001;COSTO DE MATERIALES O.I.M.;411.49;377.82;374.08;374.08;0;872.85;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;219.24;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;5959.5;2279.4;16877.91;2501.25;9848.4;2179.98;8818;12444;21799;12995;21614;6895
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;886.21;1374.72;0;116.65;2537.73;6667.86;1472.76;1472.76;1472.76;1472.76;1472.76;1472.76
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;72.69;48.72;53.07;154.91;58.18;62.56;150;150;150;150;150;150
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;1000;1000;1000;1000;1000;3000
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;78.3;250;250;250;250;250;250
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;28153.73;28153.73;28153.73;28153.73;33308.98;28518.11;29635.20257;29635.20257;29635.20257;29635.20257;29635.20257;29635.20257
5020102002;APORTES;4704.49;4704.49;4704.49;4704.49;5565.94;4765.38;4952.04235;4952.04235;4952.04235;4952.04235;4952.04235;4952.04235
5020102003;AGUINALDOS;4690.41;4690.41;4690.41;4690.41;5549.26;4751.12;4937.224749;4937.224749;4937.224749;4937.224749;4937.224749;4937.224749
5020102004;INDEMNIZACIONES - VACACIONES;2345.21;2345.21;2345.21;2345.21;2774.65;2375.56;2468.612374;2468.612374;2468.612374;2468.612374;2468.612374;2468.612374
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;1800;1841.38;1696.55;1820.69;1696.55;1717.24;2400.04;2400.04;2400.04;2400.04;2400.04;2400.04
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
