CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010101000;INGRESOS OI;0;4725.84;15763.34;243.6;6599.82;32133.45;21500;21500;21500;21500;21500;21500
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;0;833;833;833;833;833;833
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;143.55;0;0;143.55;0;1153.22;1153.22;1153.22;1153.22;1153.22;1153.22
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;0;150;150;150;150;150;150
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;0;0;0;0;0;0;0
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;5558.97;1600.22;0;0;283.19;0;0;0;0;0;0;0
5020102002;APORTES;928.9;267.4;0;0;47.32;0;0;0;0;0;0;0
5020102003;AGUINALDOS;926.12;266.6;0;0;47.18;0;0;0;0;0;0;0
5020102004;INDEMNIZACIONES - VACACIONES;463.06;10046.71;0;0;56.02;0;0;0;0;0;0;0
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;117.93;43.45;0;0;186.2;186.2;0;0;0;0;0;0
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;0;0;0;0;0;0;0;0;0;0
5020104002;SERVICIOS DE COURRIER;36.54;159.84;18.1;0;0;0;120;120;120;120;120;120
5020104003;SERVICIOS Y COMUNICACIONES;291.66;263.2;262.22;266.86;218.24;218.67;500;500;500;500;500;500
5020104004;SERVICIOS DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104005;ALQUILER DE OFICINAS;1174.71;1174.71;1174.71;1174.71;1174.71;1174.71;1428;1428;1428;1428;1428;1428
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;142.01;0;260.36;130.18;177.52;130.18;120;120;120;120;120;120
5020104010;GASTOS DE MOVILIDAD;46.16;0;0;0;330.17;330.18;100;100;100;100;100;100
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;115;115;115;115;115;115
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;1000;0;0;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;0;0;0;0;0;0;90;90;90;90;90;90
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;0;162.96;543.5834483;8.4;227.58;1108.05;741.3793103;741.3793103;741.3793103;741.3793103;741.3793103;741.3793103
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109001;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;2600;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;1540.37;1628.41;1652.06;1832.06;1870.308;2033.25;1879.921307;1962.7249;1995.746036;2030.637503;1894.61903;1868.918662
5020109003;GASTOS SA;5656.584;5973.61;7252.69;5454.65;6557.793;6694.491;7507.925649;6379.913649;8486.669649;6565.229649;6383.429649;8719.913649
