CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010104001;INGRESOS POR CAPACITACION;67388.46;152783.74;176787.53;252222.54;182221.29;195687.68;259050;316390;335460;317880;241350;164471
4010104002;INGRESOS CUOTAS ASOCIADOS;0;0;0;0;0;0;0;32712;39759.19;29670.48;19679.4;19679.4
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101002;HONORARIOS POR DOCENCIA;9752.4;37699.2;41325.44;58039.8;42496.6;39433.85;34928;56448;49392;54432;45712;16128
5020101003;SERVICIOS EXTERNOS;0;0;0;20055.78;286.23;416.83;3480;0;32000;32000;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;261;0;0;304.5;0;2000;9500;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;0;289.66;0;351.72;351.72;275.86;0;0;8253;0;0;0
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;1635.79;5868.07;5931.37;8705.31;8262.7;5800.8;10494;10374;14164;10830;5214;3294
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;1573.23;1561.83;0;1435.53;6661.38;8445.47;1050;7050;4050;4050;4050;4050
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;156.6;300;300;300;300;300;300
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;25816.3;26434.3;26434.3;26434.3;31201.98;28072.1;26630.9626;26630.9626;26630.9626;26630.9626;26630.9626;26630.9626
5020102002;APORTES;4313.9;4417.18;4417.17;4417.17;5213.85;4690.85;4450.03385;4450.03385;4450.03385;4450.03385;4450.03385;4450.03385
5020102003;AGUINALDOS;4301;4403.95;4403.95;4403.95;5198.24;4676.81;4436.718369;4436.718369;4436.718369;4436.718369;4436.718369;4436.718369
5020102004;INDEMNIZACIONES - VACACIONES;2150.5;2201.95;2201.95;2201.98;2599.14;2338.41;2218.359185;2218.359185;2218.359185;2218.359185;2218.359185;2218.359185
5020102006;SUBSIDIOS;0;0;0;0;0;0;2163;2163;2163;2163;2163;2163
5020102007;REFRIGERIOS AL PERSONAL;1365.52;1572.4;1365.53;1613.79;1593.1;1510.35;2751.77;2751.77;2751.77;2751.77;2751.77;2751.77
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;435.09;1498.14;3777.98;3915.86;748.89;2123.55;2303.74;2151.38;2329.04;1908.25;2233.72
5020104002;SERVICIOS DE COURRIER;6.96;0;33.93;40.89;13.05;76.56;200;200;200;200;200;200
5020104003;SERVICIOS Y COMUNICACIONES;1957.41;1954.28;2146.34;2611.03;2026.9;2238.93;3057;3057;3057;3057;3057;3057
5020104004;SERVICIOS DE SEGURIDAD;626.4;1357.75;1357.75;1357.75;626.4;626.4;1566;1566;1566;1566;1566;1566
5020104005;ALQUILER DE OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;948.04;4031.01;4075.06;4204.12;1627.76;2018.92;4680;4860;4230;4770;2430;1530
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;1562.19;1506.74;1471.78;1494.54;1142.06;1123.39;1590;1590;1590;1590;1590;1590
5020104010;GASTOS DE MOVILIDAD;402.37;1116.23;553.05;1303.47;1549.61;710.33;1292;1292;1292;1292;1292;1292
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;807.75;807.75;575;575;575;575;575;575
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;2000;1000;1000;1000;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;475.57;0;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;130.5;113.1;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;2000;1000;1000;1000;1000
5020104030;GASTOS VARIOS;482.75;0;141.313;3430.42;1142.06;2859.56;1000;1000;1000;1000;1000;1000
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;2311.74;6239.044828;6096.471724;8000.538966;5727.122759;6917.521034;8932.758621;12038;12938.59276;11984.49931;9001.013793;6350.013793
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109001;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;6264;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;35023.56;37092.32;45391.85;41680.17;43684.5981;46345.884;42761.9946;44645.7765;45397.0101;46190.7888;43096.3689;42215.355
5020109003;GASTOS SA;9464.871;10678.9917;52174.7733;14537.32;12383.7285;53436.5091;48333.42808;54348.07048;89342.71978;59815.48048;58869.03628;99726.91048
