CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102002;INGRESOS POR CERTIFICACION SISTEMAS;16531.74;31123.73;11873.76;64790.64;95747.5;105995.58;18695.43;56070.79;135636.48;202214.1;202621.96;20799.09
4020101010;OTROS INGRESOS;0;0;3044.53;0;0;0;0;0;0;0;0;0
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;4480.85;4844.16;2422.08;10536.05;19631.94;21097.06;9604.8;3201.6;23559.6;53800.8;19905.6;20880
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;5302.56;1814.4;585.55;0;2623.04;12126.22;0;1531.2;1948.8;4000;10245.6;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;140;280;799.08;1153;4848.41;2022.29;350;1931.72;8327.58;12175.86;6430;2321.72
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;21.31;0;0;156.6;150;150;150;150;150;150
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;200;200;200;200;200;200
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;39.15;10;10;10;10;10;10
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;11364.84;11364.84;11364.84;11364.84;13746.89;12012.63;11754.92;11754.92;11754.92;11754.92;11754.92;11754.92
5020102002;APORTES;1899.06;1899.06;1899.06;1899.06;2297.09;2007.31;1964.247132;1964.247132;1964.247132;1964.247132;1964.247132;1964.247132
5020102003;AGUINALDOS;1893.38;1893.38;1893.38;1893.38;2290.24;2001.3;1958.369672;1958.369672;1958.369672;1958.369672;1958.369672;1958.369672
5020102004;INDEMNIZACIONES - VACACIONES;946.69;946.69;946.69;946.69;1145.1;1000.65;979.184836;979.184836;979.184836;979.184836;979.184836;979.184836
5020102006;SUBSIDIOS;0;0;0;0;0;1740;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;434.48;496.55;351.72;455.17;434.48;455.17;1158.64;1158.64;1158.64;1158.64;1158.64;1158.64
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;0;161.39;0;29.58;451.25;46.16;501.79;58.4;487.39;0
5020104002;SERVICIOS DE COURRIER;6.96;0;59.16;20.88;0;0;20;20;20;20;20;20
5020104003;SERVICIOS Y COMUNICACIONES;652.48;651.42;728.49;896.44;675.63;772.4;1019;1019;1019;1019;1019;1019
5020104004;SERVICIOS DE SEGURIDAD;452.59;452.59;452.59;452.59;208.8;208.8;522;522;522;522;522;522
5020104005;ALQUILER DE OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104006;SEGUROS;0;0;0;0;762.96;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;78.39;0;0;0;0;15;15;15;15;15;15
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;457.64;457.64;457.64;457.64;339.3;339.3;530;530;530;530;530;530
5020104010;GASTOS DE MOVILIDAD;54.44;232.89;143.44;169.01;461.32;338.15;350;350;350;350;350;350
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;302.91;302.91;230;230;230;230;230;230
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;1500;1500;1500;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;1141.2;0;0;0;0;478.5;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;5725.58;0;0;0;435;23.67;500;500;500;500;500;500
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;570.06;1073.232069;514.4237931;2234.16;3301.637931;3655.02;644.67;1933.475517;4677.12;6972.9;6986.964138;717.21
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109001;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;3800;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;12572.56;13315.19;16294.51;14962.11;15681.6506;16636.984;15350.4596;16026.689;16296.3626;16581.3088;15470.4914;15154.23
5020109003;GASTOS SA;3397.646;3833.4842;18729.4058;5218.52;4445.441;19182.3366;17350.46136;19509.56376;32071.74556;21472.22376;21132.47456;35799.40376
