CodCuenta;Cuenta;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
4010102002;INGRESOS POR CERTIFICACION SISTEMAS;16167.38;0;0;0;0;0;0;30397.1;15138;27975.02;0;0
5010101001;COSTO DE MATERIALES O.I.M.;0;0;0;0;0;0;0;0;0;0;0;0
5020101001;HONORARIOS AUDITORES EXTERNOS;1816.56;0;0;0;0;0;6519.34;1566;1566;0;0;8352
5020101002;HONORARIOS POR DOCENCIA;0;0;0;0;0;0;0;0;0;0;0;0
5020101003;SERVICIOS EXTERNOS;0;0;0;0;0;0;2672.64;0;0;0;0;0
5020101004;ALQUILER OTROS P/SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101005;PASAJES VIÁTICOS POR SERVICIOS;2197.7;496.98;0;0;0;0;3110.12;739.54;859.54;0;0;3073.8
5020101006;REFRIGERIOS CURSOS - COMITES Y OTROS;0;0;0;0;0;0;150;150;150;150;150;150
5020101007;SERVICIOS PUBLICITARIOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020101008;GASTOS DE IMPRENTA;0;0;0;0;0;0;10;10;10;10;10;10
5020101010;AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102001;SUELDOS AL PERSONAL;1810.17;679.1;0;0;94.26;0;0;0;0;0;0;0
5020102002;APORTES;302.48;113.48;0;0;15.763;0;0;0;0;0;0;0
5020102003;AGUINALDOS;301.57;113.14;0;0;15.7;0;0;0;0;0;0;0
5020102004;INDEMNIZACIONES - VACACIONES;150.79;2888.97;0;0;7.85;0;0;0;0;0;0;0
5020102006;SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020102007;REFRIGERIOS AL PERSONAL;196.55;72.41;0;0;0;0;0;0;0;0;0;0
5020103001;HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5020104001;MATERIAL DE ESCRITORIO;0;0;0;0;0;0;119.5;34.83;117.7;2.87;117.7;2.87
5020104002;SERVICIOS DE COURRIER;0;0;0;0;0;0;20;20;20;20;20;20
5020104003;SERVICIOS Y COMUNICACIONES;145.83;131.6;131.12;133.44;109.14;109.36;250;250;250;250;250;250
5020104004;SERVICIOS DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104005;ALQUILER DE OFICINAS;587.35;587.35;587.35;587.35;587.35;587.35;714;714;714;714;714;714
5020104006;SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104007;SERVICIOS DE FOTOCOPIAS, ANILLADOS Y OTROS;0;0;0;0;0;0;10;10;10;10;10;10
5020104008;GASTOS DE IMPRENTA, ENMARCADOS Y OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5020104009;SERVICIO Y MATERIAL DE LIMPIEZA;71.01;0;325.45;65.09;89.85;65.09;60;60;60;60;60;60
5020104010;GASTOS DE MOVILIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5020104012;SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;115;115;115;115;115;115
5020104013;CAPACITACIÓN AL PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5020104014;INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5020104015;GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104021;REPARACIÓN Y MANTENIMIENTO DE EQUIPOS;0;0;0;0;0;0;0;0;0;0;0;0
5020104022;REPARACIÓN Y MANTENIMIENTO INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5020104030;GASTOS VARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5020105001;DEPRECIACIÓN DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5020106001;IMPUESTO A LAS TRANSACCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5020106003;IMPUESTO A LAS TRANSACCIONES;557.4958621;0;0;0;0;0;0;1048.175862;522;964.6558621;0;0
5020106004;PATENTES Y LICENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109009;EQUIPOS DE COMPUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0
5100501001;AJUSTE POR INFLACION Y TENENCIA DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5100501002;RESULTADOS POR EXPOSICION  A LA INFLACION;0;0;0;0;0;0;0;0;0;0;0;0
5100501003;AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5100601001;PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5020109002;GASTOS DN;513.46;542.81;550.58;610.68;623.436;677.75;626.6404356;654.2416332;665.2486788;676.8791676;631.5396768;622.9728872
5020109003;GASTOS SA;1885.528;1991.21;2417.56;1818.22;2185.931;2231.497;2502.641883;2126.637883;2828.889883;2188.409883;2127.809883;2906.637883
