COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
60;829;872;22;3125;;MINISTERIO DE ENERGIA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;10;10;10;10;10;10;10;10;10
60;829;872;22;3125;;MINISTERIO DE ENERGIA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;2;2;2;2;2;2;2;2;2;2;2;2;11;11;11;11;11;11;11;11;11;11;11;11
60;829;872;22;3125;;AUTORIDAD DE ELECTRICIDAD Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;3;3;3;3;3;3;3;3;3;3;3;3;12;12;12;12;12;12;12;12;12;12;12;12
60;829;872;22;3125;;AUTORIDAD DE ELECTRICIDAD Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;4;4;4;4;4;4;4;4;4;4;4;4;13;13;13;13;13;13;13;13;13;13;13;13
60;829;872;22;3125;;ENDE COORPORACION Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;5;5;5;5;5;5;5;5;5;5;5;5;14;14;14;14;14;14;14;14;14;14;14;14
60;829;872;22;3125;;ENDE COORPORACION Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;6;6;6;6;6;6;6;6;6;6;6;6;15;15;15;15;15;15;15;15;15;15;15;15
60;829;872;22;3125;;COMITê NACIONAL DE DESPACHO DE CARGA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;7;7;7;7;7;7;7;7;7;7;7;7;16;16;16;16;16;16;16;16;16;16;16;16
60;829;872;22;3125;;COMITê NACIONAL DE DESPACHO DE CARGA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;8;8;8;8;8;8;8;8;8;8;8;8;17;17;17;17;17;17;17;17;17;17;17;17
60;829;872;22;3125;;ASOCIACION BOLIVIANA DE ENERGIAS RENOVABLES Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;9;9;9;9;9;9;9;9;9;9;9;9;18;18;18;18;18;18;18;18;18;18;18;18
60;829;872;22;3125;;ASOCIACION BOLIVIANA DE ENERGIAS RENOVABLES Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;10;10;10;10;10;10;10;10;10;10;10;10;19;19;19;19;19;19;19;19;19;19;19;19
