COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ENE_E;FEB_E;MAR_E;ABR_E;MAY_E;JUN_E;JUL_E;AGO_E;SEP_E;OCT_E;NOV_E;DIC_E
56;829;2957;28;;;LPZ ARCELORMITTAL BRASIL SA - PIRACICABA Y JUIZ DE FORA;EJECUCIÓN AUDITORIA;AUDITORIA;SI;ARCELORMITTAL BRASIL SA - PIRACICABA Y JUIZ DE FORA;152;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;
56;829;2957;28;;;ORU CORPORACION INDUSTRIAL SABAYA SRL;EJECUCIÓN AUDITORIA;AUDITORIA;SI;CORPORACION INDUSTRIAL SABAYA SRL;486;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
56;829;2957;33;;;LPZ EMBOTELLADORAS BOLIVIANAS UNIDAS SA;EJECUCIÓN AUDITORIA;AUDITORIA;SI;EMBOTELLADORAS BOLIVIANAS UNIDAS SA;627;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;
56;829;2957;28;;;ORU EMPRESA METALURGICA VINTO;EJECUCIÓN AUDITORIA;AUDITORIA;SI;EMPRESA METALURGICA VINTO;682;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
56;829;2957;28;;;ORU EMPRESA PUBLICAPRODUCTIVA CEMENTOS DE BOLIVIA - ECEBOL;EJECUCIÓN AUDITORIA;AUDITORIA;SI;EMPRESA PUBLICAPRODUCTIVA CEMENTOS DE BOLIVIA - ECEBOL;689;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
56;829;2957;28;;;LPZ INVERSIONES SUCRE SA;EJECUCIÓN AUDITORIA;AUDITORIA;SI;INVERSIONES SUCRE SA;1137;;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;;;;;;;;
56;829;2957;28;;;LPZ IPS SAIC y F;EJECUCIÓN AUDITORIA;AUDITORIA;SI;IPS SAIC y F;1143;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;
56;829;2957;33;;;LPZ LA CASCADA SA;EJECUCIÓN AUDITORIA;AUDITORIA;SI;LA CASCADA SA;1272;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;
56;829;2957;28;;;LPZ MACCAFERRI DO BRASIL LTDA;EJECUCIÓN AUDITORIA;AUDITORIA;SI;MACCAFERRI DO BRASIL LTDA;1345;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
56;829;2957;33;;;LPZ MOLINO ANDINO SA;EJECUCIÓN AUDITORIA;AUDITORIA;SI;MOLINO ANDINO SA;1452;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
